Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,4,BUF,Sammy Watkins,WR,21,2022,0,0,6,43,20,111,0,1,0,0,1,11,76,0,364,5384,34,1,,,Clemson,College Stats,WatkSa00
1,7,TAM,Mike Evans,WR,21,2023,0,5,9,73,73,154,0,0,0,0,0,1,10,0,762,11680,94,5,,,Texas A&M,College Stats,EvanMi00
1,12,NYG,Odell Beckham Jr.,WR,21,2023,0,3,6,59,41,110,4,6,144,2,0,23,170,1,566,7932,59,3,,,LSU,College Stats,BeckOd00
1,20,NOR,Brandin Cooks,WR,20,2023,0,0,9,71,21,148,0,0,0,0,0,55,344,2,684,9273,57,,,,Oregon St.,College Stats,CookBr00
1,28,CAR,Kelvin Benjamin,WR,23,2018,0,0,4,22,18,61,0,0,0,0,0,0,0,0,209,3021,20,,,,Florida St.,College Stats,BenjKe00
2,39,JAX,Marqise Lee,WR,22,2019,0,0,2,17,17,59,1,2,20,1,0,16,100,0,174,2184,8,,,,USC,College Stats,LeexMa00
2,42,PHI,Jordan Matthews,WR,22,2023,0,0,3,23,21,77,0,0,0,0,0,0,0,0,274,3288,22,,,,Vanderbilt,College Stats,MattJo00
2,45,SEA,Paul Richardson,WR,22,2019,0,0,3,14,11,64,0,0,0,0,0,4,14,0,143,1809,12,2,,,Colorado,College Stats,RichPa01
2,53,GNB,Davante Adams,WR,21,2023,3,6,9,84,63,150,0,0,0,0,0,3,-1,0,872,10781,95,2,,,Fresno St.,College Stats,AdamDa01
2,56,DEN,Cody Latimer,WR,21,2019,0,0,1,6,3,66,0,0,0,0,0,2,1,0,70,935,6,14,,,Indiana,College Stats,LatiCo00
2,61,JAX,Allen Robinson,WR,21,2023,0,1,7,48,18,127,0,0,0,0,0,3,10,0,562,7028,43,2,,,Penn St.,College Stats,RobiAl02
2,63,MIA,Jarvis Landry,WR,21,2022,0,5,8,56,28,132,6,9,146,1,0,40,239,5,713,7870,38,7,,,LSU,College Stats,LandJa00
3,86,PHI,Josh Huff,WR,22,2016,0,0,0,6,6,37,0,1,0,0,0,5,22,0,51,523,4,4,,,Oregon,College Stats,HuffJo00
3,90,IND,Donte Moncrief,WR,21,2020,0,0,3,18,15,83,0,0,0,0,0,6,20,0,205,2576,21,1,,,Mississippi,College Stats,MoncDo00
3,91,ARI,John Brown,WR,24,2022,0,0,5,36,19,103,1,1,28,1,0,13,47,0,321,4790,32,,,,Pittsburg St.,,BrowJo02
3,97,PIT,Dri Archer,WR,23,2015,0,0,0,0,0,20,0,0,0,0,0,10,40,0,7,23,0,,,,Kent St.,College Stats,ArchDr00
4,104,NYJ,Jalen Saunders,WR,21,2014,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,7,0,1,,,Oklahoma,College Stats,SaunJa00
4,106,SFO,Bruce Ellington,WR,23,2018,0,0,0,7,2,44,0,1,0,0,0,11,54,1,79,769,5,2,,,South Carolina,College Stats,ElliBr00
4,115,NYJ,Shaquelle Evans,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats,EvanSh00
4,118,PIT,Martavis Bryant,WR,22,2018,0,0,1,19,17,44,0,0,0,0,0,17,94,1,145,2183,17,,,,Clemson,College Stats,BryaMa00
4,123,SEA,Kevin Norwood,WR,24,2015,0,0,0,1,1,10,0,0,0,0,0,0,0,0,9,102,0,1,,,Alabama,College Stats,NorwKe00
5,142,WAS,Ryan Grant,WR,23,2019,0,0,1,10,7,80,0,0,0,0,0,0,0,0,123,1333,7,2,,,Tulane,College Stats,GranRy01
5,146,DAL,Devin Street,WR,23,2016,0,0,0,1,1,36,0,0,0,0,0,0,0,0,10,152,1,,,,Pittsburgh,College Stats,StreDe00
5,176,GNB,Jared Abbrederis,WR,23,2017,0,0,0,1,1,22,0,0,0,0,0,0,0,0,13,163,0,1,,,Wisconsin,College Stats,AbbrJa00
6,185,TAM,Robert Herron,WR,22,2014,0,0,0,0,0,8,0,0,0,0,0,1,0,0,6,58,1,1,,,Wyoming,College Stats,HerrRo00
6,189,DET,T.J. Jones,WR,22,2019,0,0,0,7,7,45,0,0,0,0,0,1,-3,0,67,852,5,1,,,Notre Dame,College Stats,JoneT.00
6,190,MIA,Matt Hazel,WR,22,2017,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,,,,Coastal Carolina,,HazeMa01
6,196,ARI,Walt Powell,WR,22,2016,0,0,0,1,,15,0,0,0,0,0,0,0,0,14,142,0,,,,Murray St.,,PoweWa00
6,209,NYJ,Quincy Enunwa,WR,22,2019,0,0,2,13,13,41,0,0,0,0,0,2,12,0,119,1617,5,3,,,Nebraska,College Stats,EnunQu00
7,218,BAL,Michael Campanaro,WR,23,2017,0,0,0,4,4,24,0,0,0,0,0,10,131,1,31,310,2,,,,Wake Forest,College Stats,CampMi02
7,236,GNB,Jeff Janis,WR,23,2017,0,0,0,2,2,51,0,0,0,0,0,2,38,1,17,200,1,20,,,Saginaw Valley St.,,JaniJe00
7,239,CIN,James Wright,WR,22,2016,0,0,0,2,2,24,0,0,0,0,0,5,24,0,18,197,0,9,,,LSU,College Stats,WrigJa03
7,240,SDG,Tevin Reese,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Baylor,College Stats,ReesTe00
7,244,NWE,Jeremy Gallon,WR,24,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,GallJe00
