Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,24,CAR,D.J. Moore,WR,21,2023,0,0,5,50,37,97,0,1,0,0,0,43,356,1,460,6565,29,4,,,Maryland,College Stats,MoorD.00
1,26,ATL,Calvin Ridley,WR,23,2023,0,0,2,33,25,66,0,0,0,0,0,22,85,0,324,4358,36,1,,,Alabama,College Stats,RidlCa00
2,40,DEN,Courtland Sutton,WR,22,2023,0,1,3,30,30,81,2,2,54,0,0,5,21,0,298,4259,24,5,,,SMU,College Stats,SuttCo00
2,44,SFO,Dante Pettis,WR,22,2022,0,0,0,9,5,50,2,2,32,0,0,3,35,0,71,984,12,3,,,Washington,College Stats,PettDa00
2,47,ARI,Christian Kirk,WR,21,2023,0,0,5,39,23,85,2,4,32,0,0,22,159,0,377,4797,28,1,,,Texas A&M,College Stats,KirkCh01
2,51,CHI,Anthony Miller,WR,23,2021,0,0,2,12,12,50,1,1,8,0,0,9,37,0,140,1589,12,3,,,Memphis,College Stats,MillAn02
2,60,PIT,James Washington,WR,22,2022,0,0,2,11,11,62,0,0,0,0,0,2,13,0,114,1629,11,1,,,Oklahoma St.,College Stats,WashJa00
2,61,JAX,DJ Chark,WR,21,2023,0,1,3,21,13,69,0,0,0,0,0,2,20,0,212,3069,23,6,,,LSU,College Stats,CharDJ00
3,81,DAL,Michael Gallup,WR,22,2023,0,0,4,30,30,86,0,0,0,0,0,0,0,0,266,3744,21,1,,,Colorado St.,College Stats,GallMi00
3,91,NOR,Tre'Quan Smith,WR,22,2023,0,0,3,15,15,67,0,0,0,0,0,1,3,0,131,1764,18,5,,,Central Florida,College Stats,SmitTr03
4,103,HOU,Keke Coutee,WR,21,2022,0,0,0,7,7,33,0,0,0,0,0,5,14,1,85,966,4,,,,Texas Tech,College Stats,CoutKe00
4,105,CLE,Antonio Callaway,WR,21,2020,0,0,1,5,5,25,0,0,0,0,0,2,7,0,53,695,5,,,,Florida,College Stats,CallAn00
4,113,DEN,DaeSean Hamilton,WR,23,2020,0,0,0,6,6,46,0,0,0,0,0,0,0,0,81,833,5,,,,Penn St.,College Stats,HamiDa01
4,132,BAL,Jaleel Scott,WR,23,2020,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,22,0,,,,New Mexico St.,College Stats,ScotJa02
4,133,GNB,J'Mon Moore,WR,23,2018,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,15,0,2,,,Missouri,College Stats,MoorJM00
5,144,TAM,Justin Watson,WR,22,2023,0,0,0,9,2,73,0,0,0,0,0,0,0,0,65,1033,7,17,,1,Pennsylvania,,WatsJu01
5,159,IND,Daurice Fountain,WR,22,2021,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,23,0,1,,,Northern Iowa,,FounDa00
5,162,BAL,Jordan Lasley,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats,LaslJo00
5,174,GNB,Marquez Valdes-Scantling,WR,23,2023,0,0,4,26,18,92,0,0,0,0,0,9,48,0,186,3155,16,4,,,South Florida,College Stats,ValdMa00
6,175,CLE,Damion Ratley,WR,23,2020,0,0,0,4,3,31,0,0,0,0,0,0,0,0,29,407,1,1,,,Texas A&M,College Stats,RatlDa00
6,185,IND,Deon Cain,WR,22,2020,0,0,0,1,0,15,0,0,0,0,0,0,0,0,9,124,0,,,,Clemson,College Stats,CainDe00
6,187,BUF,Ray-Ray McCloud,WR,21,2023,0,0,0,8,0,77,0,0,0,0,0,15,192,1,90,768,1,3,,,Clemson,College Stats,McClRa00
6,191,LAC,Dylan Cantrell,WR,24,,0,0,0,,,,,,,,,,,,,,,,,,Texas Tech,College Stats,CantDy00
6,194,ATL,Russell Gage,WR,22,2022,0,0,0,20,17,74,1,2,39,1,0,6,21,0,244,2491,14,10,,,LSU,College Stats,GageRu00
6,196,KAN,Tremon Smith,WR,22,2023,0,0,0,7,1,83,0,0,0,0,0,1,7,0,0,0,0,45,2,,Central Arkansas,,SmitTr04
6,207,GNB,Equanimeous St. Brown,WR,21,2023,0,0,2,8,4,60,0,0,0,0,0,11,80,0,63,928,2,8,,,Notre Dame,College Stats,St.BEq00
6,208,DAL,Cedrick Wilson Jr.,WR,22,2023,0,0,0,10,6,68,5,5,111,1,0,6,7,0,101,1269,11,2,,,Boise St.,College Stats,WilsCe01
6,210,NWE,Braxton Berrios,WR,22,2023,1,0,0,11,,81,1,1,2,1,0,20,171,4,134,1323,6,1,,,Miami (FL),College Stats,BerrBr00
7,224,CHI,Javon Wims,WR,23,2022,0,0,0,1,1,34,0,0,0,0,0,1,2,0,28,266,2,,,,Georgia,College Stats,WimsJa00
7,228,OAK,Marcell Ateman,WR,23,2021,0,0,0,2,2,19,0,0,0,0,0,0,0,0,20,270,1,,,,Oklahoma St.,College Stats,AtemMa00
7,240,SFO,Richie James,WR,23,2023,0,0,1,13,6,66,0,0,0,0,0,4,5,0,105,1372,7,2,,,Middle Tenn. St.,College Stats,JameRi00
7,253,CIN,Auden Tate,WR,21,2021,0,0,1,5,5,35,0,0,0,0,0,0,0,0,61,799,2,,,,Florida St.,College Stats,TateAu00
7,255,BUF,Austin Proehl,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina,College Stats,ProeAu00
7,256,WAS,Trey Quinn,WR,22,2020,0,0,0,2,2,16,0,0,0,0,0,1,0,0,35,273,2,,,,SMU,College Stats,QuinTr00
