Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,5,TEN,Corey Davis,WR,22,2022,0,0,5,31,24,78,0,0,0,0,0,6,55,0,273,3879,17,,,,Western Michigan,College Stats,DaviCo03
1,7,LAC,Mike Williams,WR,22,2023,0,0,4,37,37,88,0,0,0,0,0,10,34,1,309,4806,31,,1,,Clemson,College Stats,WillMi07
1,9,CIN,John Ross,WR,21,2021,0,0,1,7,5,37,0,0,0,0,0,9,41,0,62,957,11,,,,Washington,College Stats,RossJo00
2,37,BUF,Zay Jones,WR,22,2023,0,0,3,24,8,104,1,2,29,0,0,8,24,0,287,3028,18,3,,,East Carolina,College Stats,JoneZa00
2,40,CAR,Curtis Samuel,WR,21,2023,0,0,4,27,18,91,0,0,0,0,0,121,715,7,317,3383,22,7,,,Ohio St.,College Stats,SamuCu00
2,62,PIT,JuJu Smith-Schuster,WR,20,2023,0,1,4,40,30,90,0,0,0,0,0,4,22,1,430,5048,30,2,,,USC,College Stats,SmitJu00
3,69,LAR,Cooper Kupp,WR,24,2023,1,1,5,57,57,92,0,4,0,0,0,24,129,1,567,7066,51,3,,,Eastern Washington,,KuppCo00
3,72,TEN,Taywan Taylor,WR,22,2020,0,0,0,6,6,35,0,0,0,0,0,8,43,0,53,697,2,4,,,Western Kentucky,College Stats,TaylTa00
3,79,NYJ,ArDarius Stewart,WR,23,2017,0,0,0,1,1,15,0,0,0,0,0,7,27,0,6,82,0,,,,Alabama,College Stats,StewAr00
3,82,DEN,Carlos Henderson,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Louisiana Tech,College Stats,HendCa01
3,84,TAM,Chris Godwin,WR,21,2023,0,1,4,47,47,104,0,1,0,0,0,12,72,2,529,6690,34,8,,,Penn St.,College Stats,GodwCh00
3,96,DET,Kenny Golladay,WR,23,2022,0,1,4,27,23,73,0,0,0,0,0,2,17,0,226,3670,22,,,,Northern Illinois,College Stats,GollKe00
3,98,ARI,Chad Williams,WR,22,2019,0,0,1,1,1,17,0,0,0,0,0,3,42,0,20,202,1,,,,Grambling St.,,WillCh05
3,106,SEA,Amara Darboh,WR,23,2017,0,0,0,1,1,16,0,0,0,0,0,0,0,0,8,71,0,2,,,Michigan,College Stats,DarbAm00
4,110,JAX,Dede Westbrook,WR,23,2021,0,0,1,14,13,55,0,1,0,0,0,14,125,0,170,1788,9,1,,,Oklahoma,College Stats,WestDe00
4,117,LAR,Josh Reynolds,WR,22,2023,0,0,2,24,10,107,0,0,0,0,0,8,36,0,220,2933,19,7,,,Texas A&M,College Stats,ReynJo00
4,118,PHI,Mack Hollins,WR,23,2023,0,0,1,14,3,95,1,1,4,0,0,4,40,0,131,1691,10,20,,,North Carolina,College Stats,HollMa00
4,128,CIN,Josh Malone,WR,21,2020,0,0,1,1,1,26,0,0,0,0,0,3,14,0,11,91,1,,,,Tennessee,College Stats,MaloJo00
4,133,DAL,Ryan Switzer,WR,22,2019,0,0,0,3,1,41,0,0,0,0,0,10,26,0,50,321,1,,,,North Carolina,College Stats,SwitRy00
4,139,KAN,Jehu Chesson,WR,23,2018,0,0,0,0,0,24,0,0,0,0,0,1,-4,0,3,25,0,6,,,Michigan,College Stats,ChesJe00
4,141,NYJ,Chad Hansen,WR,22,2020,0,0,0,3,1,20,0,0,0,0,0,0,0,0,26,330,1,1,,,California,College Stats,HansCh00
5,166,PHI,Shelton Gibson,WR,23,2019,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,59,0,2,,,West Virginia,College Stats,GibsSh00
5,170,MIN,Rodney Adams,WR,22,2021,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,South Florida,College Stats,AdamRo01
5,172,DEN,Isaiah McKenzie,WR,22,2023,0,0,2,15,0,93,1,1,12,1,0,50,244,4,152,1427,11,4,,,Georgia,College Stats,McKeIs00
5,175,GNB,DeAngelo Yancey,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Purdue,College Stats,YancDe00
5,177,SFO,Trent Taylor,WR,23,2023,0,0,0,7,6,78,0,0,0,0,0,5,13,0,87,834,3,,,,Louisiana Tech,College Stats,TaylTr02
6,209,WAS,Robert Davis,WR,22,2019,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,17,0,1,,,Georgia St.,College Stats,DaviRo00
7,219,MIN,Stacy Coley,WR,23,2018,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (FL),College Stats,ColeSt00
7,226,SEA,David Moore,WR,22,2023,0,0,2,12,12,57,0,0,0,0,0,12,91,0,83,1257,14,2,,,East Central (OK),,MoorDa03
7,237,MIA,Isaiah Ford,WR,21,2021,0,0,0,5,5,32,0,0,0,0,0,1,11,0,63,681,2,1,,,Virginia Tech,College Stats,FordIs00
7,239,DAL,Noah Brown,WR,21,2023,0,0,1,13,9,76,0,0,0,0,0,2,3,0,115,1547,5,9,,,Ohio St.,College Stats,BrowNo00
7,247,GNB,Malachi Dupre,WR,21,2018,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats,DuprMa01
