Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,5,CIN,Ja'Marr Chase,WR,21,2023,0,3,2,33,33,45,1,1,-7,0,0,15,23,0,268,3717,29,6,,,LSU,College Stats,ChasJa00
1,6,MIA,Jaylen Waddle,WR,22,2023,0,0,2,28,28,47,0,0,0,0,0,8,41,1,251,3385,18,4,,,Alabama,College Stats,WaddJa00
1,10,PHI,DeVonta Smith,WR,22,2023,0,0,2,32,32,50,0,0,0,0,0,0,0,0,240,3178,19,1,,,Alabama,College Stats,SmitDe07
1,20,NYG,Kadarius Toney,WR,22,2023,0,0,0,7,3,32,1,4,19,0,0,21,119,1,82,760,3,,,,Florida,College Stats,ToneKa00
1,27,BAL,Rashod Bateman,WR,21,2023,0,0,0,11,11,34,0,0,0,0,0,1,18,0,93,1167,4,,,,Minnesota,College Stats,BateRa00
2,34,NYJ,Elijah Moore,WR,21,2023,0,0,1,12,7,44,0,0,0,0,0,19,70,1,139,1624,8,4,,,Mississippi,College Stats,MoorEl00
2,49,ARI,Rondale Moore,WR,21,2023,0,0,0,12,12,39,0,0,0,0,0,52,249,1,135,1201,3,1,,,Purdue,College Stats,MoorRo02
2,56,SEA,D'Wayne Eskridge,WR,24,2023,0,0,0,2,2,24,0,0,0,0,0,8,74,0,17,122,1,1,,,Western Michigan,College Stats,EskrDW00
2,57,LAR,Tutu Atwell,WR,21,2023,0,0,0,8,8,37,0,0,0,0,0,14,65,1,57,781,4,,,,Louisville,College Stats,AtweTu00
2,59,CAR,Terrace Marshall Jr.,WR,21,2023,0,0,1,6,6,36,0,0,0,0,0,0,0,0,64,767,1,1,,,LSU,College Stats,MarsTe00
3,77,LAC,Josh Palmer,WR,21,2023,0,0,1,13,13,43,0,0,0,0,0,3,16,0,143,1703,9,2,,,Tennessee,College Stats,PalmJo00
3,82,WAS,Dyami Brown,WR,21,2023,0,0,0,3,3,47,1,1,4,0,0,3,11,0,29,476,3,4,,,North Carolina,College Stats,BrowDy00
3,85,GNB,Amari Rodgers,WR,21,2023,0,0,0,2,1,35,0,0,0,0,0,3,18,0,20,249,1,3,,,Clemson,College Stats,RodgAm00
3,89,HOU,Nico Collins,WR,22,2023,0,0,0,18,18,39,0,0,0,0,0,1,7,0,150,2224,11,2,,,Michigan,College Stats,CollNi00
3,91,CLE,Anthony Schwartz,WR,21,2022,0,0,0,2,2,25,0,0,0,0,0,10,96,1,14,186,1,3,,,Auburn,College Stats,SchwAn00
4,109,TEN,Dez Fitzpatrick,WR,23,2023,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,49,1,1,,,Louisville,College Stats,FitzDe00
4,112,DET,Amon-Ra St. Brown,WR,21,2023,1,2,1,35,35,49,0,0,0,0,0,20,180,1,315,3588,21,1,,,USC,College Stats,StxxAm00
4,129,TAM,Jaelon Darden,WR,22,2023,0,0,0,0,0,24,0,0,0,0,0,2,13,0,8,69,0,,,,North Texas,College Stats,DardJa00
4,131,BAL,Tylan Wallace,WR,22,2023,0,0,0,1,1,37,0,0,0,0,0,0,0,0,7,67,0,7,,,Oklahoma St.,College Stats,WallTy00
4,141,LAR,Jacob Harris,WR,24,2023,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,6,0,2,,,Central Florida,College Stats,HarrJa03
5,157,MIN,Ihmir Smith-Marsette,WR,22,2023,0,0,0,3,1,33,0,0,0,0,0,9,73,1,14,182,2,1,,,Iowa,College Stats,SmitIh00
5,179,DAL,Simi Fehoko,WR,23,2023,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,33,1,1,,,Stanford,College Stats,FehoSi00
5,181,KAN,Cornell Powell,WR,23,2022,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,College Stats,PoweCo00
6,187,ATL,Frank Darby,WR,23,2023,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,29,0,,,,Arizona St.,College Stats,DarbFr00
6,203,BUF,Marquez Stevenson,WR,23,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Houston,College Stats,StevMa00
6,204,CAR,Shi Smith,WR,22,2022,0,0,0,4,4,23,0,0,0,0,0,1,-3,0,28,400,2,4,,,South Carolina,College Stats,SmitSh03
6,205,TEN,Racey McMath,WR,22,2022,0,0,0,0,0,14,0,0,0,0,0,1,4,0,4,48,0,2,,,LSU,College Stats,McMaRa00
6,209,JAX,Jalen Camp,WR,23,2022,0,0,0,0,,5,0,0,0,0,0,0,0,0,1,7,0,,,,Georgia Tech,College Stats,CampJa03
6,219,DEN,Seth Williams,WR,21,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,34,0,,,,Auburn,College Stats,WillSe00
6,221,CHI,Dazz Newsome,WR,22,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,23,0,1,,,North Carolina,College Stats,NewsDa00
7,229,IND,Mike Strachan,WR,24,2023,0,0,0,0,0,23,0,0,0,0,0,0,0,0,6,130,0,,,,Charleston (WV),,StraMi03
7,242,NWE,Tre Nixon,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Central Florida,College Stats,NixoTr01
7,249,LAR,Ben Skowronek,WR,24,2023,0,0,1,6,6,45,0,0,0,0,0,3,26,1,58,575,1,18,,,Notre Dame,College Stats,SkowBe00
7,255,NOR,Kawaan Baker,WR,23,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,South Alabama,College Stats,BakeKa00
7,258,WAS,Dax Milne,WR,22,2022,0,0,0,1,1,28,0,0,0,0,0,1,1,0,15,120,1,,,,BYU,College Stats,MilnDa00
