Rank,Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Josh Gordon (FA),14,87,"1,646",18.9,"1,015",11.7,0,0,631,7.3,0,0,0,159,23.70%,87,9,18,61,30,14,9,3,95
2,Demaryius Thomas (FA),16,92,"1,430",15.5,733,8,0,0,697,7.6,0,0,0,142,21.20%,92,9,19,52,19,12,5,4,78
3,Calvin Johnson (FA),14,84,"1,492",17.8,"1,034",12.3,0,0,458,5.5,0,0,0,157,25.20%,84,10,23,61,22,7,5,5,87
4,A.J. Green (FA),16,98,"1,426",14.6,"1,033",10.5,0,0,393,4,0,0,0,178,30.90%,98,11,21,53,18,9,9,6,82
5,Brandon Marshall (FA),16,100,"1,295",13,"1,012",10.1,0,0,283,2.8,0,0,0,163,28.60%,100,15,22,62,16,8,3,0,44
6,Dez Bryant (FA),16,93,"1,233",13.3,709,7.6,0,0,524,5.6,0,0,0,160,27.60%,93,11,20,51,14,10,4,3,79
7,Antonio Brown (FA),16,110,"1,499",13.6,879,8,0,0,620,5.6,0,0,0,166,28.70%,110,8,21,63,23,9,6,1,56
8,Alshon Jeffery (FA),16,89,"1,421",16,"1,006",11.3,0,0,415,4.7,0,0,0,150,26.30%,89,5,19,55,20,10,7,3,80
9,Eric Decker (FA),16,87,"1,288",14.8,903,10.4,0,0,385,4.4,0,0,0,136,20.30%,87,8,23,51,19,11,6,3,61
10,DeSean Jackson (FA),16,82,"1,332",16.2,845,10.3,0,0,487,5.9,0,0,0,125,25.30%,82,5,10,49,25,10,8,5,61
11,Jordy Nelson (FA),16,85,"1,314",15.5,906,10.7,0,0,408,4.8,0,0,0,127,22.90%,85,7,22,46,22,14,3,2,76
12,Andre Johnson (FA),16,109,"1,407",12.9,"1,002",9.2,0,0,405,3.7,0,0,0,181,29.10%,109,10,18,59,20,6,3,1,62
13,Pierre Garcon (FA),16,113,"1,346",11.9,685,6.1,0,0,661,5.8,0,0,0,181,30.20%,113,11,19,52,16,7,2,1,53
14,Vincent Jackson (FA),16,78,"1,224",15.7,905,11.6,0,0,319,4.1,0,0,0,160,32.40%,78,12,18,50,19,9,5,3,60
15,Anquan Boldin (FA),16,85,"1,179",13.9,754,8.9,0,0,425,5,0,0,0,129,31.40%,85,6,13,48,19,5,3,1,63
16,Larry Fitzgerald (FA),16,82,954,11.6,619,7.5,0,0,335,4.1,0,0,0,134,23.80%,82,1,24,38,11,3,3,1,75
17,Keenan Allen (CHI),15,71,"1,046",14.7,650,9.2,0,0,396,5.6,0,0,0,104,19.40%,71,5,19,52,16,5,1,0,43
18,Julian Edelman (FA),16,105,"1,056",10.1,559,5.3,0,0,497,4.7,0,0,0,151,24.40%,105,13,23,39,9,4,2,0,44
