Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,2,DET,Calvin Johnson HOF,WR,21,2015,3,6,9,78,78,135,0,0,0,0,0,19,167,1,731,11619,83,,,,Georgia Tech,College Stats,JohnCa00
1,9,MIA,Ted Ginn Jr.,WR,22,2020,0,0,7,52,15,193,1,1,10,0,0,68,486,2,412,5742,33,6,,,Ohio St.,College Stats,GinnTe00
1,23,KAN,Dwayne Bowe,WR,22,2015,0,1,8,50,50,125,0,0,0,0,0,2,16,0,537,7208,44,,,,LSU,College Stats,BoweDw00
1,27,NOR,Robert Meachem,WR,22,2014,0,0,1,26,25,103,0,0,0,0,0,18,127,1,178,2914,27,,,,Tennessee,College Stats,MeacRo00
1,30,SDG,Craig Davis,WR,21,2010,0,0,0,7,7,25,0,0,0,0,0,4,13,0,51,558,2,,,,LSU,College Stats,DaviCr00
1,32,IND,Anthony Gonzalez,WR,22,2011,0,0,1,16,16,40,0,0,0,0,0,0,0,0,99,1307,7,,,,Ohio St.,College Stats,GonzAn00
2,44,MIN,Sidney Rice,WR,21,2013,0,1,3,33,20,81,4,7,174,0,0,4,9,0,243,3592,30,,,,South Carolina,College Stats,RiceSi01
2,45,CAR,Dwayne Jarrett,WR,20,2010,0,0,0,4,4,32,0,0,0,0,0,1,11,0,35,428,1,,,,USC,College Stats,JarrDw00
2,51,NYG,Steve Smith,WR,22,2012,0,1,1,23,21,64,0,0,0,0,0,0,0,0,245,2641,12,,,,USC,College Stats,SmitSt02
3,73,HOU,Jacoby Jones,WR,23,2015,1,1,2,30,18,128,0,0,0,0,0,19,62,0,203,2733,14,1,,,Lane,,JoneJa03
3,74,BAL,Yamon Figurs,WR,24,2010,0,0,0,2,2,34,0,0,0,0,0,3,-7,0,5,103,1,4,,,Kansas St.,College Stats,FiguYa00
3,75,ATL,Laurent Robinson,WR,22,2012,0,0,1,16,4,59,0,0,0,0,0,2,-14,0,167,2110,15,1,,,Illinois St.,,RobiLa01
3,76,SFO,Jason Hill,WR,22,2012,0,0,1,9,4,54,0,0,0,0,0,2,5,0,78,1043,9,13,,,Washington St.,College Stats,HillJa00
3,78,GNB,James Jones,WR,23,2015,0,0,4,46,43,136,0,0,0,0,0,0,0,0,433,5861,51,1,,,San Jose St.,College Stats,JoneJa04
3,79,JAX,Mike Sims-Walker,WR,22,2011,0,0,2,16,16,44,0,0,0,0,0,0,0,0,134,1798,14,2,,,Central Florida,College Stats,WalkMi01
3,80,TEN,Paul Williams,WR,23,2008,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,7,0,,,,Fresno St.,College Stats,WillPa00
3,99,OAK,Johnnie Lee Higgins,WR,23,2010,0,0,0,9,9,60,0,0,0,0,0,7,58,0,57,779,4,3,,,Texas-El Paso,,HiggJo00
4,118,CAR,Ryne Robinson,WR,22,2007,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,35,0,1,,,Miami (OH),College Stats,RobiRy00
4,128,TEN,Chris Davis,WR,23,2008,0,0,0,0,0,17,0,0,0,0,0,2,19,0,7,69,0,2,,,Florida St.,College Stats,DaviCh02
5,142,ARI,Steve Breaston,WR,24,2012,0,0,3,26,22,86,1,2,17,0,0,10,120,0,255,3387,9,2,,,Michigan,College Stats,BreaSt00
5,146,MIN,Aundrae Allison,WR,21,2008,0,0,0,3,3,26,0,0,0,0,0,3,4,0,18,231,0,,,,East Carolina,College Stats,AlliAu00
5,157,GNB,David Clowney,WR,22,2010,0,0,0,3,,28,0,0,0,0,0,3,1,0,22,341,1,1,,,Virginia Tech,College Stats,ClowDa00
5,169,IND,Roy Hall,WR,23,2008,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,9,0,4,,,Ohio St.,College Stats,HallRo02
5,172,SDG,Legedu Naanee,WR,23,2012,0,0,2,13,8,73,2,2,48,0,0,6,5,0,108,1232,4,14,,,Boise St.,College Stats,NaanLe00
6,188,TEN,Joel Filani,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Texas Tech,College Stats,-9999
6,197,SEA,Courtney Taylor,WR,23,2008,0,0,0,1,1,18,0,0,0,0,0,0,0,0,14,136,0,4,,,Auburn,College Stats,TaylCo00
6,210,SEA,Jordan Kent,WR,23,2009,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,5,0,3,,,Oregon,College Stats,KentJo20
7,227,PIT,Dallas Baker,WR,24,2008,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,6,0,,,,Florida,College Stats,BakeDa01
7,229,JAX,John Broussard,WR,23,2007,0,0,0,2,2,8,0,0,0,0,0,0,0,0,4,126,1,,,,San Jose St.,College Stats,BrouJo00
7,233,MIN,Chandler Williams,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Florida International,College Stats,-9999
7,234,CLE,Syndric Steptoe,WR,22,2008,0,0,0,1,1,16,0,0,0,0,0,0,0,0,19,182,0,,,,Arizona,College Stats,StepSy20
7,235,NYJ,Chansi Stuckey,WR,23,2011,0,0,0,10,5,55,0,0,0,0,0,6,16,1,106,1062,5,1,,,Clemson,College Stats,StucCh20
7,249,STL,Derek Stanley,WR,22,2009,0,0,0,1,1,15,0,0,0,0,0,2,5,0,6,119,1,2,,,Wisconsin–Whitewater,,StanDe00
7,254,OAK,Jonathan Holland,WR,22,2009,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,10,,,Louisiana Tech,College Stats,HollJo01
