Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
2,33,STL,Donnie Avery,WR,24,2014,0,0,4,21,8,77,0,0,0,0,0,20,114,1,218,2861,14,,,,Houston,College Stats,AverDo00
2,34,WAS,Devin Thomas,WR,21,2011,0,0,1,4,4,55,0,0,0,0,0,6,51,1,43,482,3,14,,,Michigan St.,College Stats,ThomDe02
2,36,GNB,Jordy Nelson,WR,23,2018,0,1,7,73,69,151,0,0,0,0,0,1,-2,0,613,8587,72,5,,,Kansas St.,College Stats,NelsJo00
2,41,BUF,James Hardy,WR,22,2009,0,0,0,1,1,16,0,0,0,0,0,0,0,0,10,96,2,,,,Indiana,College Stats,HardJa00
2,42,DEN,Eddie Royal,WR,22,2016,0,0,6,35,19,116,0,1,0,0,0,35,275,0,408,4357,28,3,,,Virginia Tech,College Stats,RoyaEd00
2,46,CIN,Jerome Simpson,WR,22,2015,0,0,3,18,9,63,0,0,0,0,0,1,2,0,150,2058,9,,,,Coastal Carolina,,SimpJe00
2,49,PHI,DeSean Jackson,WR,21,2022,0,3,11,75,52,183,0,1,0,0,1,72,463,4,641,11263,58,3,,,California,College Stats,JackDe00
2,51,WAS,Malcolm Kelly,WR,21,2009,0,0,1,3,3,21,0,0,0,0,0,0,0,0,28,365,0,,,,Oklahoma,College Stats,KellMa01
2,53,PIT,Limas Sweed,WR,23,2009,0,0,0,1,1,20,0,0,0,0,0,0,0,0,7,69,0,2,,,Texas,College Stats,SweeLi00
2,58,TAM,Dexter Jackson,WR,22,2008,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,,,Appalachian St.,,JackDe01
3,70,CHI,Earl Bennett,WR,21,2013,0,0,1,19,19,78,0,0,0,0,0,2,9,0,185,2277,12,2,,,Vanderbilt,College Stats,BennEa00
3,81,ARI,Early Doucet,WR,22,2012,0,0,0,10,10,54,0,0,0,0,0,4,14,0,139,1491,7,9,,,LSU,College Stats,DoucEa00
3,84,ATL,Harry Douglas,WR,23,2017,0,0,2,31,28,118,0,0,0,0,0,18,65,1,310,3759,10,,,,Louisville,College Stats,DougHa00
3,95,NYG,Mario Manningham,WR,22,2013,0,0,4,22,18,67,0,0,0,0,0,5,54,0,211,2849,19,2,,,Michigan,College Stats,MannMa01
3,97,CIN,Andre Caldwell,WR,23,2015,0,0,0,12,10,105,0,0,0,0,0,12,97,0,156,1509,11,12,,,Florida,College Stats,CaldAn00
4,105,KAN,Will Franklin,WR,22,2008,0,0,0,1,1,13,0,0,0,0,0,0,0,0,7,83,0,,,,Missouri,College Stats,FranWi00
