Rank,Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
48,Keenan Allen (CHI),14,77,783,10.2,479,6.2,0,0,304,3.9,0,0,0,121,21.30%,77,4,12,35,6,1,0,0,35
49,Jarvis Landry (FA),16,84,758,9,324,3.9,0,0,434,5.2,0,0,0,112,18.90%,84,2,13,36,6,0,0,0,25
50,Andrew Hawkins (FA),15,63,824,13.1,428,6.8,0,0,396,6.3,0,0,0,112,22.40%,63,4,7,35,13,4,2,1,65
51,Michael Crabtree (FA),16,68,698,10.3,440,6.5,0,0,258,3.8,0,0,0,108,22.30%,68,10,9,25,10,3,2,1,51
52,Kenny Britt (FA),16,48,748,15.6,582,12.1,0,0,166,3.5,0,0,0,84,16.60%,48,3,6,30,13,7,3,1,63
53,Andre Holmes (FA),16,47,693,14.7,500,10.6,0,0,193,4.1,0,0,0,98,15.80%,47,5,4,27,9,6,2,2,77
54,Pierre Garcon (FA),16,68,752,11.1,411,6,0,0,341,5,0,0,0,105,19.30%,68,2,10,30,8,3,3,1,70
55,Larry Fitzgerald (FA),14,63,784,12.4,451,7.2,0,0,333,5.3,0,0,0,104,18.50%,63,1,10,32,11,4,1,1,80
56,Reggie Wayne (FA),15,64,779,12.2,506,7.9,0,0,273,4.3,0,0,0,116,17.90%,64,9,8,33,10,3,3,1,80
57,Brandin Cooks (DAL),10,53,550,10.4,380,7.2,0,0,170,3.2,0,0,0,69,10.60%,53,2,6,19,4,4,2,1,50
58,Percy Harvin (FA),13,51,483,9.5,224,4.4,0,0,259,5.1,0,0,0,78,18.10%,51,3,9,14,6,4,2,0,45
59,Markus Wheaton (FA),16,53,644,12.2,487,9.2,0,0,157,3,0,0,0,86,14.30%,53,2,7,30,5,4,2,0,47
60,Jarius Wright (FA),16,42,588,14,261,6.2,0,0,327,7.8,0,0,0,62,12.20%,42,5,5,23,9,3,2,2,87
61,Nate Washington (FA),16,40,647,16.2,507,12.7,0,0,140,3.5,0,0,0,72,14.30%,40,4,9,28,11,3,2,1,80
62,Dwayne Bowe (FA),15,60,754,12.6,526,8.8,0,0,228,3.8,0,0,0,95,19.60%,60,7,8,37,9,2,0,0,37
63,Riley Cooper (FA),16,55,577,10.5,424,7.7,0,0,153,2.8,0,0,0,95,15.50%,55,3,14,25,5,1,1,1,50
64,Devin Hester (FA),16,38,504,13.3,247,6.5,0,0,257,6.8,0,0,0,59,9.50%,38,3,7,22,7,3,1,0,46
65,Harry Douglas (FA),12,51,556,10.9,318,6.2,0,0,238,4.7,0,0,0,74,11.90%,51,2,7,24,3,1,1,0,41
66,Taylor Gabriel (FA),16,36,621,17.3,366,10.2,0,0,255,7.1,0,0,0,72,14.40%,36,4,9,24,10,6,4,1,70
67,Allen Robinson II (NYG),10,48,548,11.4,389,8.1,0,0,159,3.3,0,0,0,81,14.60%,48,1,5,20,5,4,2,1,54
68,Miles Austin (FA),12,47,568,12.1,368,7.8,0,0,200,4.3,0,0,0,72,14.40%,47,4,5,29,7,2,0,0,31
69,Justin Hunter (FA),12,28,498,17.8,320,11.4,0,0,178,6.4,0,0,0,67,13.30%,28,7,7,20,7,5,2,1,75
70,Jerricho Cotchery (FA),15,48,580,12.1,381,7.9,0,0,199,4.1,0,0,0,78,14.40%,48,3,6,24,7,2,1,0,47
71,Cecil Shorts (FA),13,53,557,10.5,298,5.6,0,0,259,4.9,0,0,0,110,19.90%,53,7,14,21,7,3,1,1,53
72,Hakeem Nicks (FA),16,38,405,10.7,275,7.2,0,0,130,3.4,0,0,0,68,10.50%,38,4,14,17,7,0,0,0,29
73,Donte Moncrief (FA),16,32,444,13.9,236,7.4,0,0,208,6.5,0,0,0,49,7.60%,32,2,3,12,7,4,3,2,79
74,Davante Adams (LV),16,38,446,11.7,273,7.2,0,0,173,4.6,0,0,0,66,12.40%,38,4,11,19,5,2,1,0,45
75,Chris Hogan (FA),16,41,426,10.4,246,6,0,0,180,4.4,0,0,0,61,10.70%,41,2,9,20,5,1,0,0,31
76,Cole Beasley (FA),16,37,420,11.4,174,4.7,0,0,246,6.6,0,0,0,49,10.40%,37,0,6,20,4,1,1,0,45
77,Jermaine Kearse (FA),15,38,537,14.1,314,8.3,0,0,223,5.9,0,0,0,69,16.00%,38,3,8,18,7,4,3,2,60
78,Steve Johnson (FA),13,35,435,12.4,250,7.1,0,0,185,5.3,0,0,0,50,10.30%,35,2,4,19,8,2,0,0,32
79,Charles Johnson (FA),12,31,475,15.3,304,9.8,0,0,171,5.5,0,0,0,59,11.60%,31,1,1,19,9,2,2,1,56
80,Brian Hartline (FA),16,39,474,12.2,353,9.1,0,0,121,3.1,0,0,0,63,10.60%,39,5,7,22,4,3,0,0,35
81,Tavon Austin (FA),15,31,242,7.8,73,2.4,0,0,169,5.5,0,0,0,44,8.70%,31,3,0,6,2,0,0,0,28
82,Wes Welker (FA),14,49,464,9.5,271,5.5,0,0,193,3.9,0,0,0,64,10.60%,49,2,9,15,5,3,0,0,39
83,Brian Quick (FA),7,25,375,15,303,12.1,0,0,72,2.9,0,0,0,39,7.70%,25,2,3,16,5,2,2,1,51
84,Jeremy Kerley (FA),16,38,409,10.8,259,6.8,0,0,150,3.9,0,0,0,75,15.60%,38,4,9,19,3,1,0,0,33
85,Andre Roberts (FA),16,36,453,12.6,246,6.8,0,0,207,5.8,0,0,0,73,13.40%,36,7,10,18,7,2,1,1,61
86,Preston Parker (FA),16,36,418,11.6,300,8.3,0,0,118,3.3,0,0,0,56,9.30%,36,4,8,20,4,1,1,0,42
87,Stedman Bailey (FA),14,30,435,14.5,253,8.4,0,0,182,6.1,0,0,0,46,9.10%,30,3,4,18,6,3,0,0,38
88,Travis Benjamin (FA),16,18,314,17.4,271,15.1,0,0,43,2.4,0,0,0,46,9.20%,18,5,5,11,8,3,1,0,43
89,Louis Murphy (FA),11,31,380,12.3,253,8.2,0,0,127,4.1,0,0,0,56,10.70%,31,6,6,11,6,3,2,1,54
90,Corey Brown (FA),13,21,296,14.1,244,11.6,0,0,52,2.5,0,0,0,36,6.70%,21,1,2,13,3,2,1,0,47
91,Marqise Lee (FA),13,37,422,11.4,244,6.6,0,0,178,4.8,0,0,0,68,12.30%,37,6,6,15,6,4,0,0,37
92,Kamar Aiken (FA),16,24,267,11.1,206,8.6,0,0,61,2.5,0,0,0,32,5.90%,24,1,6,13,2,0,0,0,24
93,Jason Avant (FA),16,34,353,10.4,207,6.1,0,0,146,4.3,0,0,0,62,11.50%,34,5,4,12,4,1,1,0,41
94,Damaris Johnson (FA),16,31,331,10.7,148,4.8,0,0,183,5.9,0,0,0,49,10.20%,31,6,5,14,4,3,2,0,44
95,Brice Butler (FA),15,21,280,13.3,197,9.4,0,0,83,4,0,0,0,36,5.80%,21,2,4,12,2,2,2,1,55
96,Victor Cruz (FA),6,23,337,14.7,163,7.1,0,0,174,7.6,0,0,0,41,6.80%,23,6,4,12,7,2,1,1,61
97,Brandon Gibson (FA),14,29,295,10.2,186,6.4,0,0,109,3.8,0,0,0,51,8.60%,29,4,6,12,1,1,1,0,40
98,Brandon Lloyd (FA),14,14,294,21,220,15.7,0,0,74,5.3,0,0,0,35,7.20%,14,1,1,10,5,3,1,1,80
99,Jaron Brown (FA),16,22,229,10.4,168,7.6,0,0,61,2.8,0,0,0,32,5.70%,22,2,6,9,4,0,0,0,26
100,Lance Moore (FA),14,14,198,14.1,158,11.3,0,0,40,2.9,0,0,0,26,4.30%,14,3,6,8,4,0,0,0,29
101,Jeremy Ross (FA),16,24,314,13.1,176,7.3,0,0,138,5.8,0,0,0,35,5.90%,24,2,3,13,4,2,1,1,59
102,Paul Richardson Jr. (FA),15,29,271,9.3,206,7.1,0,0,65,2.2,0,0,0,44,10.20%,29,1,4,13,3,1,0,0,32
103,De'Anthony Thomas (FA),12,23,156,6.8,-13,-0.6,0,0,169,7.3,0,0,0,31,6.40%,23,2,6,7,1,1,0,0,30
104,Ricardo Lockette (FA),16,11,195,17.7,127,11.5,0,0,68,6.2,0,0,0,15,3.50%,11,1,0,7,3,3,1,0,48
105,Derek Hagan (FA),16,19,254,13.4,226,11.9,0,0,28,1.5,0,0,0,34,6.70%,19,3,1,9,5,1,0,0,38
106,Josh Gordon (FA),5,24,303,12.6,142,5.9,0,0,161,6.7,0,0,0,47,9.40%,24,2,3,15,3,1,0,0,32
107,Bruce Ellington (FA),13,6,62,10.3,29,4.8,0,0,33,5.5,0,0,0,12,2.50%,6,0,3,2,1,0,0,0,20
108,Kenbrell Thompkins (FA),14,21,262,12.5,167,8,0,0,95,4.5,0,0,0,47,7.80%,21,3,1,11,2,2,1,1,50
109,Danny Amendola (FA),16,27,200,7.4,126,4.7,0,0,74,2.7,0,0,0,42,7.00%,27,3,3,7,1,0,0,0,21
110,Albert Wilson (FA),12,16,260,16.3,141,8.8,0,0,119,7.4,0,0,0,28,5.80%,16,2,2,12,4,2,1,0,48
111,Nick Toon (FA),8,17,215,12.6,173,10.2,0,0,42,2.5,0,0,0,23,3.50%,17,1,3,12,3,0,0,0,24
112,Rishard Matthews (FA),14,12,135,11.3,93,7.8,0,0,42,3.5,0,0,0,22,3.70%,12,2,3,7,2,0,0,0,23
113,Marlon Brown (FA),14,24,255,10.6,157,6.5,0,0,98,4.1,0,0,0,31,5.70%,24,0,0,15,1,0,0,0,22
114,Brandon Tate (FA),16,17,193,11.4,122,7.2,0,0,71,4.2,0,0,0,26,5.30%,17,0,2,8,1,1,1,1,50
115,Corey Fuller (FA),16,14,212,15.1,171,12.2,0,0,41,2.9,0,0,0,31,5.30%,14,1,3,9,3,1,1,1,52
116,Greg Salas (FA),10,8,167,20.9,53,6.6,0,0,114,14.3,0,0,0,23,4.80%,8,3,1,5,4,2,1,1,51
117,Chris Givens (FA),14,11,159,14.5,115,10.5,0,0,44,4,0,0,0,20,4.00%,11,0,1,6,3,2,1,0,47
118,Eric Weems (FA),16,10,102,10.2,74,7.4,0,0,28,2.8,0,0,0,11,1.80%,10,0,2,3,1,1,1,0,40
119,Chris Owusu (FA),8,6,78,13,74,12.3,0,0,4,0.7,0,0,0,6,1.10%,6,0,1,2,1,1,0,0,36
120,Brenton Bersin (FA),15,13,151,11.6,117,9,0,0,34,2.6,0,0,0,20,3.70%,13,1,2,8,2,0,0,0,29
121,Mike Williams (FA),9,8,142,17.8,107,13.4,0,0,35,4.4,0,0,0,19,3.30%,8,2,5,3,2,1,1,1,80
122,Marquess Wilson (FA),7,17,140,8.2,89,5.2,0,0,51,3,0,0,0,32,5.30%,17,3,3,6,0,0,0,0,17
123,Ted Ginn Jr. (FA),16,14,190,13.6,144,10.3,0,0,46,3.3,0,0,0,26,4.60%,14,3,2,8,3,0,0,0,27
124,Adam Thielen (CAR),16,8,137,17.1,103,12.9,0,0,34,4.3,0,0,0,13,2.50%,8,0,1,7,2,1,1,0,44
125,Austin Pettis (FA),5,12,118,9.8,68,5.7,0,0,50,4.2,0,0,0,18,3.60%,12,2,3,6,1,0,0,0,27
126,Michael Campanaro (FA),4,7,102,14.6,67,9.6,0,0,35,5,0,0,0,9,1.70%,7,0,2,5,0,0,0,0,19
127,Josh Morgan (FA),14,10,70,7,20,2,0,0,50,5,0,0,0,19,3.10%,10,1,3,2,0,0,0,0,13
128,Joe Morgan (FA),5,4,92,23,69,17.3,0,0,23,5.8,0,0,0,10,1.50%,4,1,0,2,1,1,1,1,62
129,Dontrelle Inman (FA),7,12,158,13.2,144,12,0,0,14,1.2,0,0,0,17,3.00%,12,1,0,6,1,0,0,0,28
130,Donnie Avery (FA),6,15,176,11.7,139,9.3,0,0,37,2.5,0,0,0,26,5.40%,15,1,4,7,3,0,0,0,27
131,Trevor Graham (FA),12,3,87,29,66,22,0,0,21,7,0,0,0,8,1.70%,3,0,1,2,1,1,1,1,67
132,Rod Streater (FA),3,9,84,9.3,54,6,0,0,30,3.3,0,0,0,13,2.10%,9,1,1,3,0,0,0,0,17
133,Brian Tyms (FA),11,5,82,16.4,79,15.8,0,0,3,0.6,0,0,0,11,1.80%,5,1,1,2,1,1,1,0,43
134,James Wright (FA),17,5,91,18.2,55,11,0,0,36,7.2,0,0,0,16,3.20%,5,0,0,4,2,1,0,0,30
135,Robert Herron (FA),8,6,58,9.7,32,5.3,0,0,26,4.3,0,0,0,12,2.30%,6,2,1,2,0,0,0,0,16
136,Vincent Brown (FA),7,12,118,9.8,71,5.9,0,0,47,3.9,0,0,0,21,3.40%,12,0,0,6,1,0,0,0,20
137,Santana Moss (FA),10,10,116,11.6,42,4.2,0,0,74,7.4,0,0,0,15,2.80%,10,1,1,6,0,0,0,0,19
138,Robert Meachem (FA),11,7,114,16.3,93,13.3,0,0,21,3,0,0,0,21,3.20%,7,1,2,7,2,0,0,0,25
139,Corey Washington (FA),14,5,52,10.4,38,7.6,0,0,14,2.8,0,0,0,8,1.30%,5,0,4,3,1,0,0,0,20
140,Junior Hemingway (FA),14,12,108,9,40,3.3,0,0,68,5.7,0,0,0,21,4.30%,12,3,1,5,0,0,0,0,17
141,Jacoby Jones (FA),16,9,131,14.6,48,5.3,0,0,83,9.2,0,0,0,18,3.30%,9,5,0,6,2,2,0,0,31
142,Kevin Norwood (FA),9,9,102,11.3,62,6.9,0,0,40,4.4,0,0,0,10,2.30%,9,0,0,6,1,1,0,0,31
143,Denarius Moore (FA),10,12,115,9.6,75,6.3,0,0,40,3.3,0,0,0,27,4.40%,12,3,3,5,1,0,0,0,28
144,A.J. Jenkins (FA),9,9,93,10.3,50,5.6,0,0,43,4.8,0,0,0,15,3.10%,9,0,2,5,1,0,0,0,27
145,Josh Huff (FA),12,8,98,12.3,21,2.6,0,0,77,9.6,0,0,0,18,2.90%,8,4,1,3,1,1,1,0,44
146,Dane Sanzenbacher (FA),10,9,105,11.7,62,6.9,0,0,43,4.8,0,0,0,15,3.00%,9,0,1,5,1,0,0,0,26
147,Dwayne Harris (FA),16,7,116,16.6,80,11.4,0,0,36,5.1,0,0,0,12,2.50%,7,0,1,4,1,1,1,1,56
148,Keshawn Martin (FA),16,6,78,13,21,3.5,0,0,57,9.5,0,0,0,12,2.50%,6,0,1,3,1,1,0,0,32
149,Justin Brown (FA),8,12,94,7.8,72,6,0,0,22,1.8,0,0,0,21,3.50%,12,2,6,3,0,0,0,0,18
150,Greg Little (FA),6,6,69,11.5,36,6,0,0,33,5.5,0,0,0,12,2.40%,6,1,2,3,1,0,0,0,21
151,Ryan Grant (FA),16,7,68,9.7,45,6.4,0,0,23,3.3,0,0,0,15,2.80%,7,1,3,3,1,0,0,0,21
152,Mike Brown (FA),5,7,88,12.6,71,10.1,0,0,17,2.4,0,0,0,15,2.70%,7,3,0,6,0,0,0,0,17
153,Santonio Holmes (FA),9,8,67,8.4,42,5.3,0,0,25,3.1,0,0,0,14,2.30%,8,0,1,3,0,0,0,0,15
154,David Nelson (FA),6,8,65,8.1,62,7.8,0,0,3,0.4,0,0,0,16,3.30%,8,0,3,2,0,0,0,0,17
155,Russell Shepard (FA),16,4,63,15.8,41,10.3,0,0,22,5.5,0,0,0,8,1.50%,4,0,0,3,2,0,0,0,23
156,Bryan Walters (FA),13,6,57,9.5,18,3,0,0,39,6.5,0,0,0,11,2.50%,6,1,0,4,0,0,0,0,17
157,Kris Durham (FA),4,6,54,9,39,6.5,0,0,15,2.5,0,0,0,11,2.20%,6,0,0,3,0,0,0,0,14
158,Kevin Ogletree (FA),7,5,50,10,36,7.2,0,0,14,2.8,0,0,0,9,1.50%,5,0,1,3,0,0,0,0,15
159,Marquise Goodwin (FA),10,1,42,42,36,36,0,0,6,6,0,0,0,9,1.60%,1,0,1,1,1,1,1,0,42
160,Andre Caldwell (FA),16,5,47,9.4,29,5.8,0,0,18,3.6,0,0,0,15,2.50%,5,3,1,2,0,0,0,0,15
161,Jeff Maehl (FA),8,5,46,9.2,35,7,0,0,11,2.2,0,0,0,5,0.80%,5,0,0,2,0,0,0,0,15
162,Frankie Hammond (FA),16,4,45,11.3,30,7.5,0,0,15,3.8,0,0,0,11,2.30%,4,2,2,1,1,0,0,0,22
163,Seyi Ajirotutu (FA),16,4,45,11.3,35,8.8,0,0,10,2.5,0,0,0,12,2.10%,4,2,0,2,0,0,0,0,17
164,Quinton Patton (FA),4,3,44,14.7,44,14.7,0,0,0,0,0,0,0,8,1.70%,3,0,0,1,1,1,0,0,35
165,Aaron Dobson (FA),4,3,38,12.7,17,5.7,0,0,21,7,0,0,0,5,0.80%,3,0,0,2,0,0,0,0,16
166,Jerrel Jernigan (FA),2,6,40,6.7,30,5,0,0,10,1.7,0,0,0,9,1.50%,6,1,0,1,0,0,0,0,11
167,Ace Sanders (FA),12,6,55,9.2,31,5.2,0,0,24,4,0,0,0,7,1.30%,6,1,0,2,1,0,0,0,24
168,Ryan Broyles (FA),5,2,25,12.5,16,8,0,0,9,4.5,0,0,0,5,0.80%,2,0,1,1,1,0,0,0,21
169,Jarrett Boykin (FA),13,3,23,7.7,-4,-1.3,0,0,27,9,0,0,0,12,2.30%,3,3,2,1,0,0,0,0,11
170,Cody Latimer (FA),8,2,23,11.5,7,3.5,0,0,16,8,0,0,0,4,0.70%,2,0,0,1,0,0,0,0,14
171,Devin Street (FA),16,2,18,9,13,6.5,0,0,5,2.5,0,0,0,7,1.50%,2,0,1,0,0,0,0,0,9
172,Darrius Heyward-Bey (FA),16,3,33,11,33,11,0,0,0,0,0,0,0,5,0.80%,3,1,0,2,0,0,0,0,17
