Rank,Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Antonio Brown (FA),16,129,"1,698",13.2,"1,098",8.5,0,0,600,4.7,0,0,0,181,30.10%,129,5,33,72,19,9,4,2,63
2,Jordy Nelson (FA),16,98,"1,519",15.5,"1,018",10.4,0,0,501,5.1,0,0,0,151,28.40%,98,8,25,61,19,9,8,6,80
3,Demaryius Thomas (FA),16,111,"1,619",14.6,977,8.8,0,0,642,5.8,0,0,0,184,30.50%,111,9,39,64,25,9,6,2,86
4,Dez Bryant (FA),16,88,"1,320",15,913,10.4,0,0,407,4.6,0,0,0,137,29.10%,88,5,14,50,22,9,5,3,68
5,Odell Beckham Jr. (MIA),12,91,"1,305",14.3,819,9,0,0,486,5.3,0,0,0,130,21.70%,91,2,25,45,16,8,6,4,80
6,Randall Cobb (FA),16,91,"1,287",14.1,703,7.7,0,0,584,6.4,0,0,0,127,23.90%,91,8,25,55,24,7,3,1,70
7,Emmanuel Sanders (FA),16,101,"1,404",13.9,"1,051",10.4,0,0,353,3.5,0,0,0,141,23.40%,101,2,19,58,24,13,4,0,48
8,Julio Jones (FA),15,104,"1,593",15.3,"1,055",10.1,0,0,538,5.2,0,0,0,163,26.20%,104,8,11,71,31,6,3,1,79
9,Jeremy Maclin (FA),16,85,"1,318",15.5,822,9.7,0,0,496,5.8,0,0,0,143,23.40%,85,1,12,50,21,7,7,7,72
10,Mike Evans (TB),15,68,"1,051",15.5,878,12.9,0,0,173,2.5,0,0,0,123,23.50%,68,4,13,39,20,9,4,2,56
11,Alshon Jeffery (FA),16,85,"1,133",13.3,667,7.8,0,0,466,5.5,0,0,0,145,23.80%,85,5,21,47,17,6,3,1,74
12,T.Y. Hilton (FA),15,82,"1,345",16.4,975,11.9,0,0,370,4.5,0,0,0,131,20.20%,82,5,11,53,21,13,6,1,73
13,Golden Tate (FA),16,99,"1,331",13.4,641,6.5,0,0,690,7,0,0,0,144,24.40%,99,6,11,51,17,9,5,3,73
14,Calvin Johnson (FA),13,71,"1,077",15.2,848,11.9,0,0,229,3.2,0,0,0,128,21.70%,71,7,13,50,16,3,3,2,67
15,DeAndre Hopkins (TEN),16,76,"1,210",15.9,837,11,0,0,373,4.9,0,0,0,127,26.50%,76,3,12,45,20,11,6,3,76
16,DeSean Jackson (FA),15,56,"1,169",20.9,699,12.5,0,0,470,8.4,0,0,0,95,17.50%,56,4,10,31,16,15,13,8,81
17,Kelvin Benjamin (FA),16,73,"1,008",13.8,848,11.6,0,0,160,2.2,0,0,0,145,26.90%,73,11,15,44,14,5,2,1,51
18,Mike Wallace (FA),16,67,862,12.9,627,9.4,0,0,235,3.5,0,0,0,115,19.40%,67,4,19,39,10,5,2,2,50
19,Torrey Smith (FA),16,49,767,15.7,600,12.2,0,0,167,3.4,0,0,0,92,17.00%,49,11,13,35,13,5,2,1,53
20,Steve Smith (FA),16,79,"1,065",13.5,702,8.9,0,0,363,4.6,0,0,0,134,24.80%,79,8,18,39,15,7,5,3,80
21,Brandon LaFell (FA),16,74,953,12.9,585,7.9,0,0,368,5,0,0,0,119,19.80%,74,5,13,43,10,3,2,1,56
22,Anquan Boldin (FA),16,83,"1,062",12.8,662,8,0,0,400,4.8,0,0,0,131,27.10%,83,10,15,48,14,3,1,1,76
23,A.J. Green (FA),13,69,"1,041",15.1,727,10.5,0,0,314,4.6,0,0,0,116,23.50%,69,4,11,45,13,5,3,3,81
24,Jordan Matthews (CAR),16,67,872,13,485,7.2,0,0,387,5.8,0,0,0,103,16.80%,67,5,15,37,16,5,2,0,44
25,Sammy Watkins (FA),16,65,982,15.1,638,9.8,0,0,344,5.3,0,0,0,128,22.40%,66,6,10,35,14,6,4,2,84
26,Roddy White (FA),14,80,921,11.5,739,9.2,0,0,182,2.3,0,0,0,125,20.10%,80,10,13,41,14,2,0,0,39
27,Julian Edelman (FA),14,92,972,10.6,541,5.9,0,0,431,4.7,0,0,0,134,22.30%,92,11,20,39,7,4,3,1,69
28,Eric Decker (FA),15,74,962,13,640,8.6,0,0,322,4.4,0,0,0,115,23.90%,74,8,14,35,12,5,4,2,74
29,Mohamed Sanu Sr. (FA),16,56,790,14.1,468,8.4,0,0,322,5.8,0,0,0,98,19.90%,56,14,15,29,9,8,3,2,76
30,Malcom Floyd (FA),16,52,856,16.5,732,14.1,0,0,124,2.4,0,0,0,92,16.20%,52,1,10,35,13,6,5,1,59
31,Eddie Royal (FA),16,62,778,12.5,418,6.7,0,0,360,5.8,0,0,0,91,16.00%,62,6,11,36,14,5,3,0,47
32,Michael Floyd (FA),16,47,841,17.9,726,15.4,0,0,115,2.4,0,0,0,99,17.60%,47,5,5,35,15,9,6,1,63
33,Marques Colston (FA),16,59,902,15.3,607,10.3,0,0,295,5,0,0,0,99,15.30%,59,8,13,36,17,3,1,1,57
34,Brandon Marshall (FA),13,61,721,11.8,497,8.1,0,0,224,3.7,0,0,0,106,17.40%,61,6,15,32,5,4,4,0,47
35,Rueben Randle (FA),16,71,938,13.2,706,9.9,0,0,232,3.3,0,0,0,127,21.20%,71,4,19,41,12,4,2,0,49
36,Kendall Wright (FA),14,57,715,12.5,350,6.1,0,0,365,6.4,0,0,0,93,18.40%,57,1,8,30,10,4,1,0,48
37,Kenny Stills (FA),15,63,931,14.8,743,11.8,0,0,188,3,0,0,0,84,12.90%,63,4,4,36,10,7,6,1,69
38,Greg Jennings (FA),16,59,742,12.6,545,9.2,0,0,197,3.3,0,0,0,92,18.00%,59,5,12,35,9,2,0,0,38
39,Vincent Jackson (FA),16,70,"1,002",14.3,862,12.3,0,0,140,2,0,0,0,142,27.20%,70,7,14,41,12,7,3,1,50
40,Terrance Williams (FA),16,37,621,16.8,511,13.8,0,0,110,3,0,0,0,65,13.80%,37,2,12,26,10,4,4,1,51
41,Andre Johnson (FA),15,85,936,11,547,6.4,0,0,389,4.6,0,0,0,147,30.60%,85,9,26,46,14,1,0,0,35
42,Martavis Bryant (FA),10,26,549,21.1,359,13.8,0,0,190,7.3,0,0,0,49,8.20%,26,4,8,14,8,6,5,3,94
43,Allen Hurns (FA),16,51,677,13.3,472,9.3,0,0,205,4,0,0,0,97,17.50%,51,7,8,23,11,5,4,1,63
44,Doug Baldwin (FA),16,66,825,12.5,487,7.4,0,0,338,5.1,0,0,0,98,22.70%,66,3,12,34,15,4,2,0,49
45,James Jones (FA),16,73,666,9.1,449,6.2,0,0,217,3,0,0,0,112,18.10%,73,4,11,28,6,3,1,0,42
46,Robert Woods (HOU),16,65,699,10.8,501,7.7,0,0,198,3,0,0,0,104,18.20%,65,8,12,24,11,5,0,0,37
47,John Brown (FA),16,48,696,14.5,516,10.8,0,0,180,3.8,0,0,0,103,18.40%,49,4,6,29,11,4,2,1,75
