Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,15,CLE,Corey Coleman,WR,22,2018,0,0,2,6,5,27,0,0,0,0,0,3,15,0,61,789,5,,,,Baylor,College Stats,ColeCo00
1,21,HOU,Will Fuller,WR,22,2021,0,0,5,24,24,55,0,0,0,0,0,4,6,0,213,3136,24,,,,Notre Dame,College Stats,FullWi01
1,22,WAS,Josh Doctson,WR,23,2019,0,0,2,9,9,34,0,0,0,0,0,1,-14,0,81,1100,8,,,,TCU,College Stats,DoctJo00
1,23,MIN,Laquon Treadwell,WR,21,2023,0,0,2,8,5,81,0,0,0,0,0,0,0,0,111,1242,5,3,,,Mississippi,College Stats,TreaLa00
2,40,NYG,Sterling Shepard,WR,23,2023,0,0,5,27,27,90,0,0,0,0,0,24,186,1,372,4095,23,3,,,Oklahoma,College Stats,ShepSt00
2,47,NOR,Michael Thomas,WR,23,2023,2,3,4,60,60,83,0,0,0,0,0,2,-8,0,565,6569,36,1,,,Ohio St.,College Stats,ThomMi05
2,55,CIN,Tyler Boyd,WR,21,2023,0,0,3,46,46,120,3,6,85,0,1,19,166,0,513,6000,31,1,,,Pittsburgh,College Stats,BoydTy00
3,85,HOU,Braxton Miller,WR,23,2017,0,0,1,2,2,21,0,0,0,0,0,4,1,0,34,261,2,,,,Ohio St.,College Stats,MillBr03
3,86,MIA,Leonte Carroo,WR,22,2018,0,0,0,2,2,37,0,0,0,0,0,1,14,0,12,192,2,2,,,Rutgers,College Stats,CarrLe00
4,107,BAL,Chris Moore,WR,23,2023,0,0,0,13,4,106,0,0,0,0,0,16,69,0,138,1710,8,15,,,Cincinnati,College Stats,MoorCh00
4,112,NWE,Malcolm Mitchell,WR,24,2016,0,0,0,4,4,14,0,0,0,0,0,0,0,0,32,401,4,,,,Georgia,College Stats,MitcMa01
4,114,CLE,Ricardo Louis,WR,22,2017,0,0,1,3,3,32,0,0,0,0,0,0,0,0,45,562,0,11,,,Auburn,College Stats,LouiRi00
4,117,LAR,Pharoh Cooper,WR,21,2022,1,1,0,6,3,75,0,1,0,0,1,7,26,0,61,545,1,1,,,South Carolina,College Stats,CoopPh00
4,126,KAN,Demarcus Robinson,WR,21,2023,0,0,2,22,14,130,0,0,0,0,0,1,23,0,219,2508,20,10,,,Florida,College Stats,RobiDe01
5,140,TEN,Tajae Sharpe,WR,21,2021,0,0,3,12,11,66,0,0,0,0,0,2,17,0,117,1397,8,1,,,Massachusetts,College Stats,SharTa00
5,154,CLE,Jordan Payton,WR,23,2016,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,,,,UCLA,College Stats,PaytJo00
5,163,GNB,Trevor Davis,WR,23,2019,0,0,0,2,1,43,0,0,0,0,0,6,86,1,16,205,1,7,,,California,College Stats,DaviTr03
5,165,KAN,Tyreek Hill,WR,22,2023,5,8,6,91,61,124,0,1,0,0,1,106,766,7,717,10139,76,10,,,West Alabama,,HillTy00
5,172,CLE,Rashard Higgins,WR,21,2022,0,0,0,13,13,85,0,0,0,0,0,1,4,0,137,1890,12,,,,Colorado St.,College Stats,HiggRa00
6,180,MIN,Moritz Boehringer,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,,,BoehMo00
6,186,MIA,Jakeem Grant,WR,23,2021,0,1,0,14,12,81,0,0,0,0,0,17,76,1,100,1140,7,4,,,Texas Tech,College Stats,GranJa00
6,192,BUF,Kolby Listenbee,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats,ListKo00
6,199,CIN,Cody Core,WR,22,2019,0,0,0,3,3,51,0,0,0,0,0,0,0,0,33,388,1,12,,,Mississippi,College Stats,CoreCo00
6,206,LAR,Mike Thomas,WR,22,2022,0,0,0,2,1,76,0,0,0,0,0,1,1,0,30,366,1,13,,,Southern Miss,College Stats,ThomMi04
6,213,SFO,Aaron Burbridge,WR,22,2016,0,0,0,1,1,16,0,0,0,0,0,0,0,0,7,88,0,9,,,Michigan St.,College Stats,BurbAa00
7,225,NWE,Devin Lucien,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Arizona St.,College Stats,LuciDe00
7,229,PIT,Demarcus Ayers,WR,22,2016,0,0,0,0,0,2,0,0,0,0,0,2,-12,0,6,53,1,,,,Houston,College Stats,AyerDe00
7,230,CHI,Daniel Braverman,WR,22,2016,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Western Michigan,College Stats,BravDa00
7,238,ATL,Devin Fuller,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats,FullDe00
7,241,NYJ,Charone Peake,WR,23,2018,0,0,0,1,1,31,0,0,0,0,0,0,0,0,22,214,0,5,,,Clemson,College Stats,PeakCh00
7,243,SEA,Kenny Lawler,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,California,College Stats,LawlKe00
