,Rnd,Player,Age,Rookie Year,avg_depth_of_target,avoided_tackles,caught_percent,grades_offense,longest,receptions,routes,targeted_qb_rating,targets,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,ypt,Rookie year,"1,000 Yard Seasons"
34,3.0,Dyami Brown,21.0,2021,15.5,1.0,50.0,55.5,48.0,12.0,201.0,72.4,24.0,165.0,37.0,3.1,13.8,0.82,6.875,2021,0
35,3.0,Amari Rodgers,21.0,2021,4.4,1.0,50.0,60.6,19.0,4.0,41.0,27.6,8.0,45.0,25.0,6.3,11.3,1.1,5.625,2021,0
36,3.0,Nico Collins,22.0,2021,11.6,1.0,55.9,65.6,32.0,33.0,361.0,78.8,59.0,446.0,123.0,3.7,13.5,1.24,7.559322033898305,2021,1
37,3.0,Anthony Schwartz,21.0,2021,17.8,0.0,45.5,57.4,44.0,10.0,164.0,61.7,22.0,135.0,12.0,1.2,13.5,0.82,6.136363636363637,2021,0
38,4.0,Dez Fitzpatrick,23.0,2021,14.9,0.0,62.5,64.7,18.0,5.0,59.0,79.7,8.0,49.0,5.0,1.0,9.8,0.83,6.125,2021,0
39,4.0,Amon-Ra St. Brown,21.0,2021,7.0,8.0,78.3,79.4,37.0,90.0,523.0,107.0,115.0,912.0,430.0,4.8,10.1,1.74,7.930434782608696,2021,2
40,4.0,Jaelon Darden,22.0,2021,12.5,0.0,50.0,52.1,29.0,6.0,59.0,24.0,12.0,43.0,24.0,4.0,7.2,0.73,3.5833333333333335,2021,0
41,4.0,Tylan Wallace,22.0,2021,8.4,2.0,40.0,55.5,18.0,2.0,55.0,54.6,5.0,23.0,13.0,6.5,11.5,0.42,4.6,2021,0
42,5.0,Ihmir Smith-Marsette,22.0,2021,21.7,0.0,83.3,64.3,44.0,5.0,67.0,158.3,6.0,116.0,17.0,3.4,23.2,1.73,19.333333333333332,2021,0
43,6.0,Frank Darby,23.0,2021,22.8,2.0,25.0,74.0,14.0,1.0,12.0,41.7,4.0,14.0,12.0,12.0,14.0,1.17,3.5,2021,0
44,6.0,Shi Smith,22.0,2021,8.1,1.0,66.7,61.4,63.0,6.0,64.0,105.8,9.0,104.0,69.0,11.5,17.3,1.63,11.555555555555555,2021,0
45,6.0,Racey McMath,22.0,2021,11.0,0.0,40.0,48.8,9.0,2.0,46.0,47.9,5.0,8.0,9.0,4.5,4.0,0.17,1.6,2021,0
46,6.0,Seth Williams,21.0,2021,31.0,0.0,100.0,54.3,34.0,1.0,27.0,118.8,1.0,34.0,3.0,3.0,34.0,1.26,34.0,2021,0
47,6.0,Dazz Newsome,22.0,2021,8.8,1.0,50.0,48.1,13.0,2.0,63.0,28.1,4.0,23.0,16.0,8.0,11.5,0.37,5.75,2021,0
48,7.0,Mike Strachan,24.0,2021,18.7,0.0,66.7,61.7,16.0,2.0,38.0,93.8,3.0,26.0,0.0,0.0,13.0,0.68,8.666666666666666,2021,0
49,7.0,Ben Skowronek,24.0,2021,11.3,1.0,57.9,57.2,35.0,11.0,97.0,57.6,19.0,133.0,53.0,4.8,12.1,1.37,7.0,2021,0
50,7.0,Dax Milne,22.0,2021,7.8,0.0,69.2,57.8,22.0,9.0,89.0,86.4,13.0,83.0,39.0,4.3,9.2,0.93,6.384615384615385,2021,0
51,1.0,Henry Ruggs III,21.0,2020,17.3,2.0,60.5,54.0,72.0,26.0,343.0,102.1,43.0,452.0,148.0,5.7,17.4,1.32,10.511627906976743,2020,0
52,1.0,Jerry Jeudy,21.0,2020,14.6,9.0,47.3,65.2,92.0,52.0,515.0,60.3,110.0,856.0,260.0,5.0,16.5,1.66,7.781818181818182,2020,0
53,1.0,CeeDee Lamb,21.0,2020,10.3,6.0,67.9,71.6,52.0,74.0,516.0,102.0,109.0,935.0,312.0,4.2,12.6,1.81,8.577981651376147,2020,3
54,1.0,Jalen Reagor,21.0,2020,14.0,5.0,58.5,64.0,55.0,31.0,304.0,64.7,53.0,396.0,175.0,5.6,12.8,1.3,7.471698113207547,2020,0
55,1.0,Justin Jefferson,21.0,2020,12.0,13.0,72.7,90.4,71.0,88.0,526.0,116.4,121.0,1400.0,450.0,5.1,15.9,2.66,11.570247933884298,2020,4
