Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,25,PIT,Santonio Holmes,WR,22,2014,0,0,6,47,35,112,0,1,0,0,1,16,89,0,389,6030,36,,,,Ohio St.,College Stats,HolmSa00
2,36,NWE,Chad Jackson,WR,21,2008,0,0,0,2,2,18,0,0,0,0,0,4,22,0,14,171,3,,,,Florida,College Stats,JackCh00
2,44,NYG,Sinorice Moss,WR,22,2009,0,0,0,4,4,37,0,0,0,0,0,1,4,0,39,421,3,2,,,Miami (FL),College Stats,MossSi00
2,52,GNB,Greg Jennings,WR,22,2015,0,2,8,66,55,143,0,0,0,0,0,1,-1,0,571,8291,64,,,,Western Michigan,College Stats,JennGr00
3,78,CLE,Travis Wilson,WR,22,2006,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,32,0,,,,Oklahoma,College Stats,WilsTr00
3,82,MIA,Derek Hagan,WR,21,2014,0,0,0,12,5,99,0,0,0,0,0,0,0,0,148,1734,7,19,,,Arizona St.,College Stats,HagaDe00
3,84,SFO,Brandon Williams,WR,22,2007,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,,,Wisconsin,College Stats,WillBr01
3,90,TAM,Maurice Stovall,WR,21,2012,0,0,0,5,5,81,0,0,0,0,0,2,29,0,52,668,3,37,,,Notre Dame,College Stats,StovMa00
3,95,PIT,Willie Reid,WR,23,2007,0,0,0,1,1,7,0,0,0,0,0,0,0,0,4,54,0,,,,Florida St.,College Stats,ReidWi00
4,100,SFO,Michael Robinson,WR,23,2013,0,1,1,7,4,112,1,2,28,0,0,115,422,2,75,610,3,55,,,Penn St.,College Stats,RobiMi00
4,104,GNB,Cory Rodgers,WR,,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats,-9999
4,109,PHI,Jason Avant,WR,23,2015,0,0,3,29,25,148,0,0,0,0,0,2,2,0,346,4118,13,22,,,Michigan,College Stats,AvanJa00
4,111,BAL,Demetrius Williams,WR,23,2010,0,0,0,9,9,46,0,0,0,0,0,0,0,0,63,1008,4,,,,Oregon,College Stats,WillDe03
4,119,DEN,Brandon Marshall,WR,22,2018,1,6,10,83,27,179,0,1,0,0,0,20,118,0,970,12351,83,6,,,Central Florida,College Stats,MarsBr00
4,125,DAL,Skyler Green,WR,21,2008,0,0,0,0,0,11,0,0,0,0,0,1,1,0,3,33,0,,,,LSU,College Stats,GreeSk20
4,130,DEN,Domenik Hixon,WR,21,2013,0,0,0,17,0,76,0,0,0,0,0,3,18,0,109,1460,7,27,,,Akron,College Stats,HixoDo00
5,144,STL,Marques Hagans,WR,23,2008,0,0,0,1,1,6,1,1,5,0,0,3,-2,0,9,108,0,,,,Virginia,College Stats,HagaMa00
6,171,NOR,Mike Hass,WR,23,2009,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon St.,College Stats,HassMi00
6,172,TEN,Jonathan Orr,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Wisconsin,College Stats,-9999
6,175,SFO,Delanie Walker,WR,22,2019,0,3,7,39,8,183,0,0,0,0,0,16,89,1,504,5888,36,37,,,Central Missouri St.,,WalkHu00
6,184,ATL,Adam Jennings,WR,23,2009,0,0,0,0,0,46,0,0,0,0,0,1,-4,0,6,62,1,11,,,Fresno St.,College Stats,JennAd00
6,190,KAN,Jeff Webb,WR,24,2008,0,0,0,2,2,31,0,0,0,0,0,1,5,0,36,382,1,6,,,San Diego St.,College Stats,WebbJe00
7,209,CIN,Ethan Kilmer,WR,23,2006,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,14,1,,Penn St.,College Stats,KilmEt00
7,218,ARI,Todd Watkins,WR,23,2009,0,0,0,1,,21,0,0,0,0,0,0,0,0,8,90,0,5,,,BYU,College Stats,WatkTo20
7,231,CIN,Bennie Brazell,WR,,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,-9999
7,233,MIA,Devin Aromashodu,WR,22,2012,0,0,0,10,,61,0,0,0,0,0,0,0,0,78,1193,5,3,,,Auburn,College Stats,AromDe00
7,249,SEA,Ben Obomanu,WR,22,2013,0,0,0,10,10,69,0,0,0,0,0,4,41,0,88,1217,7,23,,,Auburn,College Stats,ObomBe00
7,251,HOU,David Anderson,WR,23,2011,0,0,0,7,7,67,0,0,0,0,0,0,0,0,88,965,4,8,,,Colorado St.,College Stats,AndeDa01
7,252,NOR,Marques Colston,WR,23,2015,0,0,7,72,72,146,0,0,0,0,0,2,7,0,711,9759,72,1,,,Hofstra,,ColsMa00
7,255,OAK,Kevin McMahan,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Maine,,-9999
