Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,8,STL,Tavon Austin,WR,23,2021,0,0,4,26,22,113,0,1,0,0,0,199,1361,10,244,2239,16,3,,,West Virginia,College Stats,AustTa00
1,27,HOU,DeAndre Hopkins,WR,21,2023,3,5,9,80,55,162,1,4,6,1,1,6,21,0,928,12355,78,2,,,Clemson,College Stats,HopkDe00
1,29,MIN,Cordarrelle Patterson,WR,22,2023,4,4,4,41,16,170,0,1,0,0,0,514,2511,22,298,2795,16,17,,,Tennessee,College Stats,PattCo00
2,34,TEN,Justin Hunter,WR,22,2018,0,0,1,9,7,60,0,0,0,0,0,0,0,0,85,1349,13,,,,Tennessee,College Stats,HuntJu00
2,41,BUF,Robert Woods,WR,21,2023,0,0,9,58,15,156,0,0,0,0,0,75,514,5,663,8030,38,7,,,USC,College Stats,WoodRo02
2,59,NWE,Aaron Dobson,WR,22,2015,0,0,1,6,6,24,0,0,0,0,0,0,0,0,53,698,4,,,,Marshall,College Stats,DobsAa00
3,74,DAL,Terrance Williams,WR,23,2018,0,0,4,27,27,83,0,0,0,0,0,5,19,0,232,3377,20,,,,Baylor,College Stats,WillTe01
3,76,SDG,Keenan Allen,WR,21,2023,0,6,9,74,74,139,1,4,49,1,0,18,113,0,904,10530,59,4,1,,California,College Stats,AlleKe00
3,78,BUF,Marquise Goodwin,WR,22,2023,0,0,3,24,5,114,0,0,0,0,0,23,126,0,191,3090,18,,,,Texas,College Stats,GoodMa00
3,79,PIT,Markus Wheaton,WR,22,2018,0,0,2,13,13,59,0,0,0,0,0,4,19,0,110,1559,8,6,,,Oregon St.,College Stats,WheaMa00
3,92,STL,Stedman Bailey,WR,22,2015,0,0,0,7,7,38,0,0,0,0,0,3,46,1,59,843,2,9,,,West Virginia,College Stats,BailSt01
4,101,JAX,Ace Sanders,WR,21,2014,0,0,0,3,3,27,1,1,21,1,0,2,4,0,57,539,1,1,,,South Carolina,College Stats,SandAc00
4,102,NWE,Josh Boyce,WR,22,2014,0,0,0,1,1,10,0,0,0,0,0,0,0,0,9,121,0,,,,TCU,College Stats,BoycJo00
4,123,SEA,Chris Harper,WR,23,2013,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,1,,,Kansas St.,College Stats,HarpCh00
4,128,SFO,Quinton Patton,WR,23,2016,0,0,1,6,6,40,0,0,0,0,0,3,51,0,73,880,1,2,,,Louisiana Tech,College Stats,PattQu00
5,135,JAX,Denard Robinson,WR,22,2016,0,0,1,8,8,55,0,2,0,0,0,263,1058,5,47,310,0,8,,,Michigan,College Stats,RobiDe00
5,144,NOR,Kenny Stills,WR,21,2021,0,0,5,35,14,130,1,1,3,1,0,5,9,0,316,4911,38,,,,Oklahoma,College Stats,StilKe00
5,161,DEN,Tavarres King,WR,23,2017,0,0,0,2,,17,0,0,0,0,0,2,3,0,22,303,3,,,,Georgia,College Stats,KingTa00
6,171,DET,Corey Fuller,WR,23,2015,0,0,0,3,3,28,0,0,0,0,0,0,0,0,18,288,1,5,,,Virginia Tech,College Stats,FullCo00
6,174,ARI,Ryan Swope,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M,College Stats,SwopRy00
6,186,PIT,Justin Brown,WR,22,2014,0,0,0,1,1,8,0,0,0,0,0,0,0,0,12,94,0,,,,Oklahoma,College Stats,BrowJu00
6,195,HOU,Alan Bonner,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Jacksonville St.,,BonnAl00
6,197,CIN,Cobi Hamilton,WR,22,2017,0,0,1,2,0,14,0,0,0,0,0,0,0,0,18,242,2,1,,,Arkansas,College Stats,HamiCo00
7,209,OAK,Brice Butler,WR,23,2018,0,0,0,9,3,69,0,0,0,0,0,0,0,0,79,1237,9,,,,San Diego St.,College Stats,ButlBr00
7,216,GNB,Charles Johnson,WR,24,2016,0,0,0,7,,39,0,0,0,0,0,1,-11,0,60,834,2,2,,,Grand Valley St.,,JohnCh08
7,224,GNB,Kevin Dorsey,WR,23,2014,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,0,1,,,Maryland,College Stats,DorsKe01
7,236,CHI,Marquess Wilson,WR,20,2016,0,0,0,6,6,31,0,0,0,0,0,0,0,0,56,777,3,,,,Washington St.,College Stats,WilsMa02
7,238,BAL,Aaron Mellette,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Elon,,MellAa00
