Rank,Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Cooper Kupp (LAR),17,145,"1,947",13.4,"1,101",7.6,0,0,846,5.8,257,1.8,10,191,31.70%,156,8,37,66,30,15,9,3,59
2,Deebo Samuel Sr. (SF),16,77,"1,405",18.9,621,8,0,0,855,11,295,3.8,13,121,24.20%,89,10,9,52,24,13,10,6,83
3,Ja'Marr Chase (CIN),17,81,"1,455",18,804,9.9,0,0,651,8,251,3.1,8,128,23.70%,95,11,12,51,22,13,8,6,82
4,Justin Jefferson (MIN),17,108,"1,616",14.9,"1,141",10.5,0,0,482,4.4,149,1.4,5,167,28.90%,120,7,20,67,27,11,5,2,56
5,Davante Adams (LV),16,123,"1,553",12.6,961,7.8,0,0,592,4.8,146,1.2,5,169,29.60%,127,4,27,66,19,12,4,2,59
6,Mike Evans (TB),16,74,"1,035",14,776,10.5,0,0,259,3.5,63,0.9,2,114,15.90%,76,2,18,42,20,7,3,0,46
7,Tyreek Hill (MIA),17,111,"1,239",11.2,795,7.2,0,0,444,4,114,1,10,159,25.00%,121,7,23,49,13,7,3,1,75
8,Stefon Diggs (HOU),17,103,"1,225",11.9,899,8.7,0,0,326,3.2,152,1.5,7,164,26.20%,111,5,34,50,12,6,4,2,61
9,Mike Williams (NYJ),16,76,"1,146",15.1,731,9.6,0,0,415,5.5,136,1.8,2,129,19.50%,86,6,19,41,17,9,9,2,72
10,DK Metcalf (SEA),17,75,967,12.9,639,8.5,0,0,328,4.4,159,2.1,8,129,27.10%,83,4,19,41,11,5,2,1,84
11,Tyler Lockett (SEA),16,73,"1,175",16.1,898,12.3,0,0,277,3.8,65,0.9,2,107,22.50%,73,0,7,36,22,9,7,5,69
12,Diontae Johnson (CAR),16,107,"1,161",10.9,634,5.9,0,0,527,4.9,98,0.9,8,169,25.90%,112,5,21,46,14,7,4,2,50
13,Hunter Renfrow (FA),17,103,"1,038",10.1,586,5.7,0,0,452,4.4,115,1.1,2,128,21.20%,105,2,23,41,10,2,1,1,54
14,CeeDee Lamb (DAL),16,79,"1,102",13.9,661,8.4,0,0,441,5.6,198,2.5,12,120,18.80%,89,8,10,46,20,9,2,0,49
15,Keenan Allen (CHI),16,106,"1,138",10.7,801,7.6,0,0,337,3.2,83,0.8,1,157,23.80%,116,8,23,47,12,5,2,0,42
16,Michael Pittman Jr. (IND),17,88,"1,082",12.3,734,8.3,0,0,348,4,100,1.1,2,129,25.50%,95,6,16,45,12,4,3,1,57
17,Tee Higgins (CIN),14,74,"1,091",14.7,801,10.8,0,0,290,3.9,92,1.2,4,110,20.40%,85,5,11,49,17,4,2,2,54
18,DJ Moore (CHI),17,93,"1,157",12.4,731,7.9,0,0,426,4.6,127,1.4,4,163,28.30%,107,10,13,52,16,2,1,1,64
19,Chris Godwin (TB),14,98,"1,103",11.3,517,5.3,0,0,586,6,190,1.9,5,127,17.70%,103,5,25,45,15,3,1,0,44
20,Jaylen Waddle (MIA),16,104,"1,015",9.8,576,5.5,0,0,439,4.2,103,1,4,140,23.40%,113,8,15,39,8,4,2,1,57
21,Brandin Cooks (DAL),16,90,"1,037",11.4,671,7.5,0,0,357,4,68,0.8,5,134,25.60%,95,5,10,41,12,6,5,1,52
22,Darnell Mooney (ATL),17,81,"1,055",13,674,8.3,0,0,381,4.7,123,1.5,5,140,26.70%,91,9,10,42,14,6,3,3,64
23,Amon-Ra St. Brown (DET),16,90,912,10.1,488,5.4,0,0,424,4.7,97,1.1,2,119,21.00%,93,1,14,32,11,4,0,0,37
24,Terry McLaurin (WAS),17,77,"1,053",13.7,736,9.6,0,0,317,4.1,121,1.6,4,130,24.30%,85,5,9,45,15,9,3,0,46
25,Hollywood Brown (KC),16,91,"1,008",11.1,620,6.8,0,0,388,4.3,88,1,4,146,24.70%,102,8,16,43,15,6,3,0,49
26,Amari Cooper (CLE),15,68,865,12.7,630,9.3,0,0,235,3.5,81,1.2,4,104,16.30%,72,4,17,36,15,4,1,0,41
27,Adam Thielen (CAR),13,67,726,10.8,487,7.3,0,0,239,3.6,60,0.9,1,95,16.40%,69,1,13,28,14,2,0,0,35
28,Christian Kirk (JAC),17,77,982,12.9,769,10,0,0,228,3,63,0.8,1,103,18.10%,85,6,10,34,16,7,4,1,50
29,Kendrick Bourne (NE),17,55,800,14.5,415,7.5,0,0,385,7,91,1.7,5,70,13.40%,57,2,7,28,10,6,5,1,75
30,DeVonta Smith (PHI),17,64,916,14.3,696,10.9,0,0,220,3.4,62,1,2,104,22.20%,70,2,8,39,16,5,1,0,46
31,Van Jefferson (PIT),17,50,802,16,586,11.7,0,0,216,4.3,78,1.6,2,89,14.80%,56,6,15,28,12,6,4,4,79
32,A.J. Brown (PHI),13,63,869,13.8,621,9.9,0,0,248,3.9,99,1.6,2,105,20.10%,72,8,11,45,10,3,3,1,57
33,Tyler Boyd (TEN),16,67,828,12.4,439,6.6,0,0,389,5.8,60,0.9,2,94,17.40%,69,0,7,33,10,4,2,2,68
34,Brandon Aiyuk (SF),17,56,826,14.7,477,8.5,0,0,347,6.2,140,2.5,3,84,16.80%,62,4,10,35,16,6,1,0,43
35,K.J. Osborn (NE),17,50,655,13.1,476,9.5,0,0,179,3.6,55,1.1,1,82,14.20%,51,2,9,23,10,4,2,2,64
36,Chase Claypool (BUF),15,59,860,14.6,577,9.8,0,0,283,4.8,126,2.1,4,105,16.10%,66,5,13,33,13,7,4,2,59
37,Marvin Jones Jr. (FA),17,73,832,11.4,700,9.6,0,0,132,1.8,29,0.4,0,120,20.60%,79,2,18,36,13,2,0,0,33
38,Marquez Callaway (NO),17,46,698,15.2,554,12,0,0,144,3.1,58,1.3,4,84,17.70%,51,4,9,29,9,5,3,1,58
39,DeAndre Hopkins (TEN),10,42,572,13.6,432,10.3,0,0,140,3.3,46,1.1,0,64,11.20%,44,1,14,27,7,4,1,1,55
40,Tim Patrick (DEN),16,53,734,13.8,532,10,0,0,202,3.8,37,0.7,2,85,16.40%,57,3,11,33,10,4,1,0,44
41,Jakobi Meyers (LV),16,83,866,10.4,643,7.7,0,0,223,2.7,50,0.6,1,126,24.00%,89,3,13,34,12,2,0,0,39
42,Cedrick Wilson Jr. (NO),14,45,602,13.4,348,7.7,0,0,254,5.6,82,1.8,0,61,9.60%,48,3,9,23,8,4,2,2,73
43,A.J. Green (FA),16,54,848,15.7,667,12.4,0,0,181,3.4,83,1.5,5,92,16.10%,63,5,17,33,16,9,3,0,42
44,Allen Lazard (NYJ),14,40,513,12.8,345,8.6,0,0,168,4.2,59,1.5,1,60,10.50%,41,1,14,21,8,3,1,0,42
45,Russell Gage (BAL),13,66,770,11.7,516,7.8,0,0,254,3.8,89,1.3,5,94,17.00%,73,5,13,31,8,2,1,0,49
46,Elijah Moore (CLE),11,43,538,12.5,332,7.7,0,0,206,4.8,52,1.2,2,77,13.30%,44,1,7,23,9,1,1,1,62
47,Courtland Sutton (DEN),17,58,776,13.4,641,11.1,0,0,135,2.3,36,0.6,1,98,18.90%,61,3,10,32,9,7,2,1,55
48,Robert Woods (HOU),9,45,556,12.4,358,8,0,0,198,4.4,71,1.6,0,69,11.50%,48,3,16,25,8,0,0,0,28
49,Gabe Davis (JAC),15,35,549,15.7,409,11.7,0,0,140,4,33,0.9,1,63,10.10%,41,5,17,25,13,3,1,0,49
50,Emmanuel Sanders (FA),14,42,626,14.9,541,12.9,0,0,85,2,31,0.7,0,72,11.50%,46,3,10,27,10,4,1,0,41
51,Robbie Chosen (SF),17,53,519,9.8,361,6.8,0,0,158,3,32,0.6,2,110,19.10%,63,7,8,21,3,1,1,1,57
52,Odell Beckham Jr. (MIA),14,44,537,12.2,386,8.8,0,0,151,3.4,29,0.7,1,82,16.40%,50,2,12,19,7,2,2,1,54
53,Byron Pringle (WAS),16,42,568,13.5,381,9.1,0,0,187,4.5,70,1.7,4,60,9.40%,47,4,6,23,11,2,1,0,40
54,Kalif Raymond (DET),16,48,576,12,314,6.5,0,0,262,5.5,30,0.6,3,71,12.50%,51,3,6,22,8,2,1,1,75
55,Mecole Hardman Jr. (KC),17,59,693,11.7,191,3.2,0,0,502,8.5,152,2.6,7,83,13.00%,62,2,15,21,8,4,4,1,53
56,Jarvis Landry (FA),12,52,570,11,297,5.7,0,0,273,5.3,79,1.5,3,87,17.40%,54,2,10,23,7,3,0,0,38
57,Antonio Brown (FA),7,42,545,13,355,8.5,0,0,190,4.5,30,0.7,2,62,8.70%,45,2,3,22,10,2,2,1,62
58,Cole Beasley (FA),16,82,693,8.5,388,4.7,0,0,305,3.7,71,0.9,0,112,17.90%,88,6,13,26,5,0,0,0,29
59,Deonte Harty (BAL),13,36,570,15.8,329,9.1,0,0,241,6.7,99,2.8,4,59,12.40%,41,3,5,17,5,4,4,3,72
60,Donovan Peoples-Jones (DET),14,34,597,17.6,451,13.3,0,0,146,4.3,50,1.5,4,58,11.60%,37,3,3,23,12,5,3,2,60
61,Braxton Berrios (MIA),16,46,431,9.4,189,4.1,0,0,242,5.3,19,0.4,1,65,11.20%,47,1,8,16,5,1,1,0,46
62,Bryan Edwards (FA),16,34,571,16.8,381,11.2,0,0,190,5.6,82,2.4,6,59,9.80%,35,1,8,24,11,6,1,1,51
63,Quez Watkins (PIT),17,43,647,15,393,9.1,0,0,254,5.9,69,1.6,5,62,13.20%,45,1,7,24,12,5,3,2,91
64,Corey Davis (FA),9,34,492,14.5,368,10.8,0,0,124,3.6,66,1.9,2,59,10.20%,39,5,4,22,9,3,1,1,53
65,Nick Westbrook-Ikhine (TEN),15,38,476,12.5,332,8.7,0,0,144,3.8,42,1.1,1,57,10.90%,40,2,10,20,5,2,1,0,46
66,Nelson Agholor (BAL),15,37,473,12.8,355,9.6,0,0,118,3.2,35,0.9,2,64,12.20%,39,1,6,22,9,2,1,0,44
67,Jalen Guyton (LV),16,31,448,14.2,292,9.4,0,0,149,4.8,64,2.1,2,48,7.30%,36,4,7,18,4,3,2,1,59
68,Randall Cobb (FA),11,28,375,13.4,237,8.5,0,0,138,4.9,72,2.6,1,39,6.80%,30,2,12,13,6,3,1,1,54
69,Laviska Shenault Jr. (SEA),16,63,619,9.8,230,3.7,0,0,389,6.2,192,3,10,100,17.20%,71,8,9,27,5,2,2,2,58
70,DeVante Parker (FA),10,40,515,12.9,411,10.3,0,0,104,2.6,46,1.2,1,73,12.20%,51,4,6,22,7,3,1,0,42
71,DeAndre Carter (CHI),17,24,296,12.3,218,9.1,0,0,78,3.3,15,0.6,0,44,8.20%,26,2,2,14,5,0,0,0,26
72,Freddie Swain (CHI),17,25,343,13.7,137,5.5,0,0,206,8.2,43,1.7,0,40,8.40%,29,2,4,10,6,3,2,2,68
73,Marquez Valdes-Scantling (BUF),11,26,430,16.5,284,10.9,0,0,146,5.6,28,1.1,0,55,9.60%,26,0,8,12,8,5,3,1,75
74,Henry Ruggs III (FA),7,24,469,19.5,360,15,0,0,109,4.5,32,1.3,3,36,6.00%,26,2,1,14,9,6,4,2,61
75,Joshua Palmer (LAC),15,33,353,10.7,259,7.8,0,0,94,2.8,34,1,1,49,7.40%,35,1,8,15,3,1,0,0,36
76,Zay Jones (ARI),15,47,546,11.6,376,8,0,0,170,3.6,39,0.8,3,70,11.60%,50,2,5,22,8,4,2,0,43
77,Olamide Zaccheaus (WAS),15,31,406,13.1,312,10.1,0,0,94,3,32,1,0,53,9.60%,35,2,8,16,4,3,2,0,49
78,Jamison Crowder (WAS),12,51,447,8.7,273,5.4,0,0,169,3.3,47,0.9,0,71,12.20%,55,2,11,19,3,0,0,0,29
79,Jauan Jennings (SF),13,24,282,11.8,179,7.5,0,0,103,4.3,42,1.8,2,38,7.60%,29,5,7,12,4,1,0,0,34
80,Rashod Bateman (BAL),12,46,515,11.2,344,7.5,0,0,171,3.7,45,1,0,68,11.50%,48,2,5,19,8,4,0,0,36
81,Michael Gallup (FA),9,35,445,12.7,322,9.2,0,0,123,3.5,43,1.2,1,62,9.70%,39,3,8,17,6,3,2,0,41
82,Zach Pascal (ARI),16,38,384,10.1,263,6.9,0,0,121,3.2,29,0.8,1,69,13.70%,41,4,13,14,5,3,1,0,41
83,DeSean Jackson (FA),14,20,454,22.7,279,14,0,0,175,8.8,15,0.8,0,34,5.60%,21,1,0,13,6,6,4,3,75
84,Tre'Quan Smith (DET),10,32,377,11.8,264,8.3,0,0,113,3.5,36,1.1,2,50,10.50%,38,2,8,16,6,1,0,0,34
85,Rondale Moore (ATL),14,54,435,8,-4,-0.1,0,0,442,8,75,1.4,2,64,11.20%,56,1,8,12,3,2,1,1,77
86,Kenny Golladay (FA),14,37,521,14.1,402,10.9,0,0,119,3.2,57,1.5,3,76,13.50%,41,1,10,28,5,1,0,0,36
87,Jamal Agnew (FA),12,24,229,9.5,108,4.5,0,0,121,5,38,1.6,0,39,6.70%,26,1,3,6,4,0,0,0,29
88,Josh Reynolds (DEN),11,29,396,13.7,277,9.6,0,0,119,4.1,53,1.8,2,49,9.40%,31,1,6,19,6,1,0,0,39
89,T.Y. Hilton (FA),10,23,331,14.4,260,11.3,0,0,71,3.1,23,1,0,37,7.30%,25,1,4,11,4,4,2,1,52
90,Keelan Cole Sr. (FA),14,28,449,16,364,13,0,0,85,3,21,0.8,0,51,8.80%,30,1,5,19,7,2,2,1,54
91,Nico Collins (HOU),14,33,446,13.5,313,9.5,0,0,133,4,32,1,0,60,11.50%,34,1,6,18,8,3,0,0,32
92,Julio Jones (FA),10,31,434,14,322,10.4,0,0,112,3.6,50,1.6,4,48,9.20%,34,1,6,20,4,2,2,1,51
93,Laquon Treadwell (IND),12,33,434,13.2,308,9.3,0,0,126,3.8,39,1.2,3,51,8.70%,38,3,6,17,6,2,2,0,41
94,Allen Robinson II (NYG),12,38,410,10.8,309,8.1,0,0,101,2.7,26,0.7,1,66,12.60%,40,2,4,15,5,1,0,0,39
95,Jerry Jeudy (CLE),10,38,467,11.9,265,7,0,0,187,4.9,24,0.6,0,56,10.80%,42,1,3,18,7,2,1,0,40
96,Mack Hollins (BUF),16,14,223,15.9,186,13.3,0,0,37,2.6,14,1,0,28,4.70%,15,1,8,7,4,2,2,1,65
97,Jalen Reagor (NE),17,33,299,9.1,148,4.5,0,0,151,4.6,44,1.3,1,57,12.20%,41,4,5,13,4,1,0,0,34
98,Danny Amendola (FA),8,24,248,10.3,143,6,0,0,105,4.4,13,0.5,0,38,7.30%,25,1,3,6,4,2,0,0,39
99,Demarcus Robinson (LAR),15,25,264,10.6,202,8.1,0,0,62,2.5,16,0.6,0,41,6.40%,26,1,3,11,3,1,0,0,33
