Player,Rookie year,"1,000 Yard Seasons"
Denzel Mims,2020,0
Lynn Bowden Jr.,2020,0
Bryan Edwards,2020,0
Devin Duvernay,2020,0
Gabriel Davis,2020,0
Antonio Gandy-Golden,2020,0
Joe Reed,2020,0
Tyler Johnson,2020,0
Collin Johnson,2020,0
Quintez Cephus,2020,0
John Hightower,2020,0
Isaiah Coulter,2020,0
Darnell Mooney,2020,0
K.J. Osborn,2020,0
Donovan Peoples-Jones,2020,0
Quez Watkins,2020,0
James Proche,2020,0
Isaiah Hodgins,2020,0
Dezmon Patmon,2020,0
Freddie Swain,2020,0
Jauan Jennings,2020,0
K.J. Hill,2020,0
Tyrie Cleveland,2020,0
Ja'Marr Chase,2021,3
Jaylen Waddle,2021,3
DeVonta Smith,2021,2
Kadarius Toney,2021,0
Rashod Bateman,2021,0
Elijah Moore,2021,0
Rondale Moore,2021,0
D'Wayne Eskridge,2021,0
Tutu Atwell,2021,0
Terrace Marshall Jr.,2021,0
Josh Palmer,2021,0
Dyami Brown,2021,0
Amari Rodgers,2021,0
Nico Collins,2021,1
Anthony Schwartz,2021,0
Dez Fitzpatrick,2021,0
Amon-Ra St. Brown,2021,2
Jaelon Darden,2021,0
Tylan Wallace,2021,0
Jacob Harris,2021,0
Ihmir Smith-Marsette,2021,0
Simi Fehoko,2021,0
Cornell Powell,2021,0
Frank Darby,2021,0
Marquez Stevenson,2021,0
Shi Smith,2021,0
Racey McMath,2021,0
Jalen Camp,2021,0
Seth Williams,2021,0
Dazz Newsome,2021,0
Mike Strachan,2021,0
Tre Nixon,2021,0
Ben Skowronek,2021,0
Kawaan Baker,2021,0
Dax Milne,2021,0
Drake London,2022,0
Garrett Wilson,2022,2
Chris Olave,2022,2
Jameson Williams,2022,0
Jahan Dotson,2022,0
Treylon Burks,2022,0
Christian Watson,2022,0
Wan'Dale Robinson,2022,0
John Metchie,2022,0
Tyquan Thornton,2022,0
George Pickens,2022,1
Alec Pierce,2022,0
Skyy Moore,2022,0
Velus Jones Jr.,2022,0
Jalen Tolbert,2022,0
David Bell,2022,0
Danny Gray,2022,0
Erik Ezukanma,2022,0
Romeo Doubs,2022,0
Calvin Austin,2022,0
Khalil Shakir,2022,0
Montrell Washington,2022,0
Kyle Philips,2022,0
Jalen Nailor,2022,0
Michael Woods II,2022,0
Bo Melton,2022,0
Dareke Young,2022,0
Samori Toure,2022,0
Jaxon Smith-Njigba,2023,0
Quentin Johnston,2023,0
Zay Flowers,2023,0
Jordan Addison,2023,0
Jonathan Mingo,2023,0
Jayden Reed,2023,0
Rashee Rice,2023,0
Marvin Mims,2023,0
Tank Dell,2023,0
Jalin Hyatt,2023,0
Cedric Tillman,2023,0
Josh Downs,2023,0
Michael Wilson,2023,0
Tre Tucker,2023,0
Derius Davis,2023,0
Charlie Jones,2023,0
Tyler Scott,2023,0
Justin Shorter,2023,0
Dontayvion Wicks,2023,0
Puka Nacua,2023,1
Parker Washington,2023,0
Kayshon Boutte,2023,0
Trey Palmer,2023,0
A.T. Perry,2023,0
Elijah Higgins,2023,0
Xavier Hutchinson,2023,0
Andrei Iosivas,2023,0
Demario Douglas,2023,0
Antoine Green,2023,0
Colton Dowell,2023,0
Jalen Brooks,2023,0
Ronnie Bell,2023,0
Grant Dubose,2023,0
Justin Blackmon,2012,0
Michael Floyd,2012,1
Kendall Wright,2012,1
A.J. Jenkins,2012,0
Brian Quick,2012,0
Stephen Hill,2012,0
Alshon Jeffery,2012,2
Ryan Broyles,2012,0
Rueben Randle,2012,0
DeVier Posey,2012,0
T.J. Graham,2012,0
Mohamed Sanu,2012,0
T.Y. Hilton,2012,5
Chris Givens,2012,0
Travis Benjamin,2012,0
Joe Adams,2012,0
Devon Wylie,2012,0
Jarius Wright,2012,0
Keshawn Martin,2012,0
Nick Toon,2012,0
Greg Childs,2012,0
Danny Coale,2012,0
Marvin Jones,2012,1
Juron Criner,2012,0
B.J. Cunningham,2012,0
Marvin McNutt,2012,0
Tommy Streeter,2012,0
LaVon Brazill,2012,0
Rishard Matthews,2012,0
Toney Clemons,2012,0
Jeremy Ebert,2012,0
Junior Hemingway,2012,0
Jordan White,2012,0
A.J. Green,2011,6
Julio Jones,2011,7
Jonathan Baldwin,2011,0
Titus Young,2011,0
Torrey Smith,2011,1
Greg Little,2011,0
Randall Cobb,2011,1
Austin Pettis,2011,0
Leonard Hankerson,2011,0
Vincent Brown,2011,0
Jerrel Jernigan,2011,0
Kris Durham,2011,0
Clyde Gates,2011,0
Greg Salas,2011,0
Cecil Shorts,2011,0
Tandon Doss,2011,0
Kealoha Pilares,2011,0
Denarius Moore,2011,0
Jeremy Kerley,2011,0
Niles Paul,2011,0
Ryan Whalen,2011,0
Dwayne Harris,2011,0
Aldrick Robinson,2011,0
Ronald Johnson,2011,0
Scotty McKnight,2011,0
Stephen Burton,2011,0
David Ausberry,2011,0
DeMarco Sampson,2011,0
Demaryius Thomas,2010,5
Dez Bryant,2010,3
Dexter McCluster,2010,0
Arrelious Benn,2010,0
Golden Tate,2010,3
Damian Williams,2010,0
Brandon LaFell,2010,0
Emmanuel Sanders,2010,3
Jordan Shipley,2010,0
Eric Decker,2010,3
Andre Roberts,2010,0
Armanti Edwards,2010,0
Taylor Price,2010,0
Mardy Gilyard,2010,0
Mike Williams,2010,0
Marcus Easley,2010,0
Jacoby Ford,2010,0
David Reed,2010,0
Riley Cooper,2010,0
Kerry Meier,2010,0
Carlton Mitchell,2010,0
Dezmon Briscoe,2010,0
Antonio Brown,2010,7
Trindon Holliday,2010,0
David Gettis,2010,0
Joe Webb,2010,0
Kyle Williams,2010,0
