Rank,Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Tyreek Hill (MIA),16,87,"1,479",17,952,10.9,0,0,527,6.1,185,2.1,4,137,24.30%,94,6,9,50,27,16,8,4,75
2,Antonio Brown (FA),15,104,"1,297",12.5,812,7.8,0,0,485,4.7,129,1.2,5,168,24.90%,107,3,12,48,17,8,6,2,78
3,Davante Adams (LV),15,111,"1,386",12.5,911,8.2,0,0,475,4.3,90,0.8,4,169,27.50%,116,5,15,53,18,8,5,2,57
4,DeAndre Hopkins (TEN),16,115,"1,572",13.7,"1,185",10.3,0,0,387,3.4,84,0.7,5,163,33.00%,121,2,10,66,23,9,4,0,49
5,Julio Jones (FA),16,113,"1,677",14.8,"1,229",10.9,0,0,448,4,110,1,3,170,28.10%,123,9,13,78,24,10,2,1,58
6,Mike Evans (TB),16,86,"1,524",17.7,"1,235",14.4,0,0,289,3.4,70,0.8,0,138,22.30%,95,7,6,62,26,11,6,4,72
7,Adam Thielen (CAR),16,113,"1,373",12.2,957,8.5,0,0,416,3.7,85,0.8,3,153,25.80%,119,3,13,56,17,7,3,1,68
8,Michael Thomas (FA),16,125,"1,405",11.2,891,7.1,0,0,514,4.1,181,1.4,6,147,28.80%,129,3,21,53,17,8,2,1,72
9,JuJu Smith-Schuster (FA),16,111,"1,426",12.8,778,7,0,0,648,5.8,171,1.5,7,166,24.60%,119,6,16,48,18,7,5,3,97
10,Robert Woods (HOU),16,86,"1,219",14.2,799,9.3,0,0,420,4.9,124,1.4,2,130,23.90%,89,2,6,54,20,7,0,0,39
11,Tyler Lockett (SEA),16,57,965,16.9,752,13.2,0,0,213,3.7,31,0.5,0,70,17.50%,57,0,4,36,17,9,6,3,52
12,Stefon Diggs (HOU),15,102,"1,021",10,573,5.6,0,0,448,4.4,104,1,4,149,25.20%,106,3,9,39,13,5,2,1,75
13,Brandin Cooks (DAL),16,80,"1,204",15.1,858,10.7,0,0,346,4.3,83,1,4,117,21.50%,80,0,9,50,22,7,4,1,57
14,Keenan Allen (CHI),16,97,"1,196",12.3,793,8.2,0,0,403,4.2,111,1.1,3,136,26.90%,102,4,9,58,13,2,1,1,54
