Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,25,BAL,Marquise Brown,WR,22,2023,0,0,3,34,24,72,0,0,0,0,0,5,30,0,313,3644,28,3,,,Oklahoma,College Stats,BrowMa04
1,32,NWE,N'Keal Harry,WR,21,2023,0,0,1,7,6,49,0,0,0,0,0,7,49,0,64,714,5,,,,Arizona St.,College Stats,HarrNK00
2,36,SFO,Deebo Samuel,WR,23,2023,1,1,3,43,43,66,1,3,24,1,0,160,1007,19,283,4122,19,2,,,South Carolina,College Stats,SamuDe00
2,51,TEN,A.J. Brown,WR,22,2023,0,3,4,57,27,77,0,2,0,0,0,5,70,1,379,5947,42,4,,,Mississippi,College Stats,BrowAJ00
2,56,KAN,Mecole Hardman,WR,21,2023,0,1,0,22,22,68,0,0,0,0,0,21,128,2,166,2212,16,1,,,Georgia,College Stats,HardMe00
2,57,PHI,JJ Arcega-Whiteside,WR,22,2021,0,0,0,2,2,40,0,0,0,0,0,0,0,0,16,290,1,4,,,Stanford,College Stats,ArceJJ00
2,59,IND,Parris Campbell,WR,22,2023,0,0,1,9,9,44,0,0,0,0,0,11,108,0,117,1087,5,1,,,Ohio St.,College Stats,CampPa00
2,62,ARI,Andy Isabella,WR,22,2023,0,0,0,4,4,43,0,0,0,0,0,6,10,0,33,447,3,3,,,Massachusetts,College Stats,IsabAn00
2,64,SEA,D.K. Metcalf,WR,21,2023,0,2,4,46,46,82,0,0,0,0,0,3,17,0,372,5332,43,2,,,Mississippi,College Stats,MetcDK00
3,66,PIT,Diontae Johnson,WR,23,2023,0,1,4,33,33,77,0,0,0,0,0,19,134,0,391,4363,25,2,,,Toledo,College Stats,JohnDi01
3,67,SFO,Jalen Hurd,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Baylor,College Stats,HurdJa00
3,76,WAS,Terry McLaurin,WR,23,2023,0,1,4,37,37,80,0,0,0,0,0,10,71,0,378,5283,25,5,,,Ohio St.,College Stats,McLaTe00
3,93,BAL,Miles Boykin,WR,22,2023,0,0,2,6,6,73,0,0,0,0,0,0,0,0,38,498,7,15,,,Notre Dame,College Stats,BoykMi00
4,103,ARI,Hakeem Butler,WR,23,2020,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa St.,College Stats,ButlHa00
4,120,SEA,Gary Jennings Jr,WR,22,2019,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,West Virginia,College Stats,JennGa00
4,126,CHI,Riley Ridley,WR,23,2020,0,0,0,1,1,10,0,0,0,0,0,0,0,0,10,108,0,,,,Georgia,College Stats,RidlRi00
5,149,OAK,Hunter Renfrow,WR,23,2023,0,1,0,21,21,73,0,0,0,0,0,3,3,0,269,2884,17,6,,,Clemson,College Stats,RenfHu00
5,171,NYG,Darius Slayton,WR,22,2023,0,0,3,25,25,76,0,0,0,0,0,3,-14,0,220,3324,19,4,,,Auburn,College Stats,SlayDa01
6,174,ARI,KeeSean Johnson,WR,22,2021,0,0,0,4,4,18,0,0,0,0,0,1,3,0,36,360,1,,,,Fresno St.,College Stats,JohnKe07
6,184,DET,Travis Fulgham,WR,23,2021,0,0,1,4,0,17,0,0,0,0,0,0,0,0,38,539,4,,,,Old Dominion,College Stats,FulgTr00
6,187,DEN,Juwann Winfree,WR,23,2023,0,0,0,1,0,23,0,0,0,0,0,0,0,0,9,75,0,,,,Colorado,College Stats,WinfJu00
6,203,ATL,Marcus Green,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,La-Monroe,College Stats,GreeMa02
6,206,WAS,Kelvin Harmon,WR,22,2019,0,0,1,3,3,16,1,1,11,0,0,0,0,0,30,365,0,2,,,North Carolina St.,College Stats,HarmKe00
6,208,TAM,Scott Miller,WR,22,2023,0,0,1,9,9,67,0,0,0,0,0,8,81,1,85,1085,6,4,,,Bowling Green,College Stats,MillSc01
7,236,SEA,John Ursua,WR,25,2019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,11,0,,,,Hawaii,College Stats,UrsuJo00
7,237,CAR,Terry Godwin,WR,22,2020,0,0,0,0,,3,0,0,0,0,0,1,3,0,3,32,0,,,,Georgia,College Stats,GodwTe00
7,239,MIN,Dillon Mitchell,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,MitcDi00
7,247,MIN,Olabisi Johnson,WR,22,2020,0,0,0,5,5,32,0,0,0,0,0,1,6,0,45,483,3,,,,Colorado St.,College Stats,JohnOl00
