,Player,avoided_tackles,grades_offense,longest,receptions,routes,targets,yards,yards_after_catch,yprr,ypt,"1,000 Yard Seasons"
222,A.J. Green,2.0,72.8,58.0,65.0,497.0,111.0,1057.0,284.0,2.13,9.522522522522523,6
223,Julio Jones,12.0,70.8,80.0,54.0,456.0,91.0,959.0,421.0,2.1,10.538461538461538,7
224,Jonathan Baldwin,0.0,58.9,39.0,21.0,265.0,51.0,254.0,42.0,0.96,4.980392156862745,0
225,Titus Young,1.0,62.7,57.0,48.0,486.0,80.0,607.0,142.0,1.25,7.5875,0
226,Torrey Smith,2.0,68.6,74.0,50.0,519.0,90.0,841.0,242.0,1.62,9.344444444444443,1
227,Greg Little,17.0,58.7,76.0,61.0,597.0,113.0,709.0,247.0,1.19,6.274336283185841,0
228,Randall Cobb,6.0,65.1,61.0,25.0,172.0,31.0,375.0,193.0,2.18,12.096774193548388,1
229,Austin Pettis,2.0,60.3,35.0,27.0,238.0,46.0,256.0,96.0,1.08,5.565217391304348,0
230,Leonard Hankerson,0.0,74.4,23.0,13.0,91.0,20.0,163.0,40.0,1.79,8.15,0
231,Vincent Brown,3.0,69.5,31.0,19.0,225.0,38.0,329.0,91.0,1.46,8.657894736842104,0
232,Kris Durham,0.0,64.3,12.0,3.0,21.0,4.0,30.0,3.0,1.43,7.5,0
233,Clyde Gates,0.0,56.3,11.0,2.0,64.0,10.0,19.0,0.0,0.3,1.9,0
234,Greg Salas,3.0,63.1,21.0,27.0,137.0,35.0,264.0,230.0,1.93,7.542857142857143,0
235,Cecil Shorts,0.0,46.6,25.0,2.0,118.0,12.0,30.0,4.0,0.25,2.5,0
236,Denarius Moore,1.0,76.7,78.0,33.0,333.0,73.0,618.0,133.0,1.86,8.465753424657533,0
237,Jeremy Kerley,3.0,69.9,38.0,29.0,223.0,44.0,314.0,109.0,1.41,7.136363636363637,0
238,Niles Paul,0.0,58.9,14.0,2.0,74.0,5.0,25.0,2.0,0.34,5.0,0
239,Ryan Whalen,0.0,64.1,13.0,4.0,43.0,4.0,27.0,8.0,0.63,6.75,0
240,Stephen Burton,0.0,60.5,21.0,2.0,31.0,4.0,38.0,6.0,1.23,9.5,0
241,David Ausberry,0.0,54.4,10.0,2.0,37.0,2.0,14.0,1.0,0.38,7.0,0
242,DeMarco Sampson,0.0,54.1,15.0,3.0,78.0,8.0,36.0,8.0,0.46,4.5,0
243,Demaryius Thomas,6.0,79.2,31.0,22.0,101.0,37.0,283.0,148.0,2.8,7.648648648648648,5
244,Dez Bryant,8.0,72.9,46.0,45.0,315.0,71.0,561.0,206.0,1.78,7.901408450704225,3
245,Dexter McCluster,5.0,59.3,31.0,21.0,225.0,36.0,209.0,179.0,0.93,5.805555555555555,0
246,Arrelious Benn,3.0,81.0,64.0,25.0,169.0,37.0,395.0,159.0,2.34,10.675675675675675,0
247,Golden Tate,5.0,66.0,52.0,21.0,139.0,38.0,227.0,112.0,1.63,5.973684210526316,3
248,Damian Williams,2.0,69.7,39.0,16.0,133.0,26.0,219.0,45.0,1.65,8.423076923076923,0
249,Brandon LaFell,2.0,64.6,44.0,38.0,339.0,71.0,468.0,142.0,1.38,6.591549295774648,0
250,Emmanuel Sanders,2.0,72.8,35.0,28.0,280.0,48.0,376.0,80.0,1.34,7.833333333333333,3
251,Jordan Shipley,2.0,66.9,64.0,52.0,428.0,72.0,600.0,197.0,1.4,8.333333333333334,0
252,Eric Decker,2.0,62.2,38.0,6.0,71.0,8.0,106.0,29.0,1.49,13.25,3
253,Andre Roberts,1.0,55.9,74.0,24.0,299.0,48.0,307.0,136.0,1.03,6.395833333333333,0
254,Taylor Price,0.0,71.7,18.0,3.0,13.0,4.0,41.0,21.0,3.15,10.25,0
255,Mardy Gilyard,0.0,59.5,21.0,6.0,105.0,15.0,63.0,14.0,0.6,4.2,0
256,Mike Williams,11.0,74.7,58.0,64.0,549.0,122.0,955.0,336.0,1.74,7.827868852459017,2
257,Mike Williams,11.0,74.7,58.0,64.0,549.0,122.0,955.0,336.0,1.74,7.827868852459017,0
258,Mike Williams,5.0,79.6,68.0,65.0,366.0,106.0,751.0,217.0,2.05,7.084905660377358,2
259,Mike Williams,5.0,79.6,68.0,65.0,366.0,106.0,751.0,217.0,2.05,7.084905660377358,0
260,Jacoby Ford,0.0,66.5,52.0,25.0,302.0,50.0,470.0,123.0,1.56,9.4,0
261,Riley Cooper,0.0,55.7,37.0,7.0,151.0,14.0,116.0,18.0,0.77,8.285714285714286,0
262,Dezmon Briscoe,0.0,76.4,54.0,6.0,38.0,6.0,93.0,40.0,2.45,15.5,0
263,Antonio Brown,4.0,85.8,26.0,16.0,57.0,19.0,167.0,108.0,2.93,8.789473684210526,7
264,David Gettis,1.0,64.4,88.0,37.0,426.0,66.0,508.0,169.0,1.19,7.696969696969697,0
265,Kyle Williams,0.0,55.6,8.0,1.0,7.0,1.0,8.0,3.0,1.14,8.0,0
266,Terrence Austin,1.0,73.2,28.0,3.0,37.0,5.0,47.0,13.0,1.27,9.4,0
267,Darrius Heyward-Bey,0.0,47.6,24.0,9.0,323.0,38.0,124.0,14.0,0.38,3.263157894736842,0
268,Michael Crabtree,9.0,71.7,50.0,48.0,398.0,82.0,625.0,202.0,1.57,7.621951219512195,2
269,Jeremy Maclin,2.0,68.8,56.0,55.0,480.0,86.0,762.0,248.0,1.59,8.86046511627907,2
270,Percy Harvin,16.0,86.5,51.0,60.0,338.0,86.0,790.0,366.0,2.34,9.186046511627907,0
271,Hakeem Nicks,9.0,75.8,68.0,47.0,344.0,71.0,790.0,434.0,2.3,11.126760563380282,2
272,Kenny Britt,9.0,76.2,57.0,42.0,377.0,70.0,701.0,179.0,1.86,10.014285714285714,1
273,Brian Robiskie,1.0,56.3,43.0,7.0,141.0,16.0,106.0,47.0,0.75,6.625,0
274,Mohamed Massaquoi,3.0,66.9,59.0,34.0,394.0,87.0,624.0,170.0,1.58,7.172413793103448,0
275,Derrick Williams,0.0,51.6,19.0,6.0,98.0,13.0,52.0,16.0,0.53,4.0,0
276,Mike Wallace,2.0,68.7,60.0,39.0,443.0,71.0,756.0,137.0,1.71,10.647887323943662,3
277,Ramses Barden,0.0,52.3,16.0,1.0,18.0,1.0,16.0,9.0,0.89,16.0,0
278,Deon Butler,2.0,56.6,32.0,15.0,207.0,40.0,175.0,52.0,0.85,4.375,0
279,Mike Thomas,5.0,70.2,28.0,48.0,281.0,59.0,453.0,226.0,1.61,7.677966101694915,0
280,Mike Thomas,5.0,70.2,28.0,48.0,281.0,59.0,453.0,226.0,1.61,7.677966101694915,0
281,Brian Hartline,1.0,74.0,67.0,31.0,245.0,54.0,506.0,185.0,2.07,9.37037037037037,2
282,Austin Collie,5.0,70.4,39.0,60.0,485.0,85.0,676.0,251.0,1.39,7.952941176470588,0
283,Johnny Knox,4.0,66.7,68.0,45.0,360.0,75.0,527.0,179.0,1.46,7.026666666666666,0
284,Jarett Dillard,0.0,76.1,33.0,6.0,49.0,8.0,106.0,20.0,2.16,13.25,0
285,Quinten Lawrence,0.0,66.8,9.0,1.0,14.0,2.0,9.0,4.0,0.64,4.5,0
286,Brandon Gibson,5.0,63.4,23.0,34.0,301.0,64.0,353.0,100.0,1.17,5.515625,0
287,Julian Edelman,10.0,68.8,29.0,37.0,221.0,50.0,359.0,272.0,1.62,7.18,3
288,Sammie Stroughter,4.0,68.4,35.0,31.0,247.0,58.0,319.0,135.0,1.29,5.5,0
289,Marko Mitchell,0.0,58.0,11.0,4.0,35.0,7.0,32.0,13.0,0.91,4.571428571428571,0
290,Donnie Avery,3.0,72.4,69.0,53.0,403.0,99.0,674.0,268.0,1.67,6.808080808080808,0
291,Devin Thomas,2.0,54.0,18.0,15.0,188.0,24.0,120.0,40.0,0.64,5.0,0
292,Jordy Nelson,4.0,63.3,29.0,33.0,333.0,53.0,366.0,94.0,1.1,6.90566037735849,4
293,James Hardy,0.0,51.5,17.0,9.0,186.0,23.0,87.0,22.0,0.47,3.782608695652174,0
294,Eddie Royal,3.0,73.7,93.0,91.0,561.0,127.0,980.0,364.0,1.75,7.716535433070866,0
295,Jerome Simpson,0.0,46.4,2.0,1.0,8.0,3.0,2.0,3.0,0.25,0.6666666666666666,0
296,DeSean Jackson,3.0,67.8,60.0,62.0,504.0,115.0,915.0,304.0,1.82,7.956521739130435,5
297,Malcolm Kelly,0.0,48.1,7.0,3.0,60.0,9.0,18.0,7.0,0.3,2.0,0
298,Limas Sweed,0.0,55.1,17.0,6.0,66.0,10.0,64.0,22.0,0.97,6.4,0
299,Early Doucet,1.0,69.4,12.0,14.0,59.0,17.0,90.0,53.0,1.53,5.294117647058823,0
