Rank,Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
125,Jordan Norwood (FA),11,22,207,9.4,138,6.3,0,0,69,3.1,22,1,1,32,5.30%,43,1,6,8,1,1,0,0,34
126,Jaron Brown (FA),16,11,144,13.1,122,11.1,0,0,22,2,8,0.7,1,23,4.20%,23,1,6,6,3,1,0,0,39
127,Bennie Fowler III (FA),16,16,203,12.7,106,6.6,0,0,97,6.1,47,2.9,2,25,4.10%,30,0,3,11,1,1,1,0,41
128,Louis Murphy (FA),6,10,198,19.8,161,16.1,0,0,37,3.7,11,1.1,0,18,3.40%,22,0,1,6,4,2,1,1,54
129,Andre Caldwell (FA),14,10,72,7.2,56,5.6,0,0,16,1.6,4,0.4,0,22,3.60%,22,1,6,2,1,0,0,0,24
130,Justin Hardy (FA),9,21,194,9.2,129,6.1,0,0,65,3.1,27,1.3,0,36,5.80%,46,3,6,7,2,0,0,0,23
131,Donteea Dye (FA),10,11,132,12,102,9.3,0,0,30,2.7,13,1.2,3,30,5.70%,23,4,5,6,1,1,1,0,44
132,Javontee Herndon (FA),8,24,195,8.1,93,3.9,0,0,102,4.3,19,0.8,0,33,5.00%,46,4,3,10,1,0,0,0,21
133,T.J. Jones (FA),10,10,132,13.2,91,9.1,0,0,41,4.1,13,1.3,0,18,2.90%,19,1,0,5,3,0,0,0,29
134,Kenbrell Thompkins (FA),7,17,165,9.7,97,5.7,0,0,68,4,18,1.1,0,33,5.50%,35,1,1,5,2,2,1,0,43
135,Devin Smith (FA),10,9,115,12.8,97,10.8,0,0,18,2,4,0.4,0,28,4.70%,21,2,3,6,1,0,0,0,22
136,Devin Street (FA),15,7,114,16.3,101,14.4,0,0,13,1.9,4,0.6,0,13,2.50%,17,2,1,7,1,0,0,0,25
137,Tyrell Williams (FA),7,2,90,45,39,19.5,0,0,51,25.5,0,0,0,6,0.90%,5,1,0,2,1,1,1,1,80
138,Myles White (FA),12,7,88,12.6,81,11.6,0,0,7,1,1,0.1,0,20,3.30%,17,2,6,3,2,0,0,0,28
139,Aaron Dobson (FA),8,13,141,10.8,112,8.6,0,0,29,2.2,7,0.5,0,21,3.40%,27,2,4,7,1,0,0,0,24
140,Marlon Moore (FA),14,7,81,11.6,49,7,0,0,32,4.6,11,1.6,1,10,1.70%,16,2,3,6,1,0,0,0,20
